session_id,customer_id,session_date,session_duration_minutes,pages_viewed,page_type,device_type,bounce_rate,time_on_page_seconds,cart_additions,cart_abandonment,search_queries,support_chat_initiated,email_clicks,app_rating_given
SESS_00000021,CUST_000463,2023-10-07 21:15:00,23,7,Home,Desktop,0.11,1936.11,0,0,4,0,0,0
SESS_00000022,CUST_000935,2023-08-12 01:31:00,36,4,Search,Mobile,0.72,3030.43,0,0,1,0,1,0
SESS_00000023,CUST_000482,2023-04-11 11:38:00,44,7,Search,Desktop,0.37,3703.86,0,0,2,0,2,0
SESS_00000024,CUST_000362,2023-11-23 04:58:00,18,4,Cart,Mobile,0.33,1515.21,2,1,3,0,2,0
SESS_00000025,CUST_000260,2023-05-27 17:34:00,9,1,Home,Mobile,0.33,757.61,1,0,2,0,1,0
SESS_00000026,CUST_001788,2023-01-08 21:12:00,25,3,Home,Mobile,0.25,2104.46,1,1,0,0,0,0
SESS_00000027,CUST_000509,2023-06-08 03:31:00,62,8,Cart,Desktop,0.7,5219.07,2,0,2,1,0,0
SESS_00000028,CUST_001700,2023-06-30 09:26:00,8,1,Product_Page,Mobile,0.24,673.43,2,1,2,0,2,0
SESS_00000029,CUST_000537,2023-02-20 03:41:00,39,5,Home,Mobile,0.46,3282.96,1,0,0,0,1,0
SESS_00000030,CUST_000224,2023-01-17 20:06:00,45,6,Product_Page,Desktop,0.44,3788.03,1,0,0,0,0,0
SESS_00000031,CUST_001589,2023-08-25 07:36:00,46,6,Cart,Tablet,0.86,3872.21,5,0,3,0,3,0
SESS_00000032,CUST_001394,2023-02-10 20:10:00,38,6,Product_Page,Mobile,0.61,3198.78,1,0,2,0,2,0
SESS_00000033,CUST_001679,2023-11-30 07:51:00,48,8,Home,Desktop,0.75,4040.57,1,1,0,0,1,0
SESS_00000034,CUST_000513,2023-05-25 17:57:00,2,1,Home,Mobile,0.53,168.36,0,0,3,0,2,0
SESS_00000035,CUST_000203,2023-03-10 14:30:00,17,5,Product_Page,Desktop,0.24,1431.04,1,1,3,0,1,0
SESS_00000036,CUST_001816,2023-08-15 15:44:00,8,2,Home,Mobile,0.44,673.43,1,1,1,0,1,0
SESS_00000037,CUST_000789,2023-11-28 16:21:00,32,4,Product_Page,Desktop,0.51,2693.71,1,1,0,1,2,0
SESS_00000038,CUST_001708,2023-11-05 00:53:00,83,41,Home,Desktop,0.63,6986.82,1,0,2,1,1,1
SESS_00000039,CUST_001395,2023-08-19 09:17:00,33,5,Search,Mobile,0.86,2777.89,2,0,0,0,2,1
SESS_00000040,CUST_001864,2023-05-10 00:58:00,35,17,Search,Mobile,0.59,2946.25,1,1,4,0,1,0
SESS_00000041,CUST_001346,2023-04-09 00:50:00,110,13,Product_Page,Desktop,0.76,9259.64,2,0,0,0,1,0
SESS_00000042,CUST_001102,2023-11-01 23:10:00,12,2,Product_Page,Mobile,0.15,1010.14,0,1,2,0,2,0
SESS_00000043,CUST_001301,2023-01-23 12:16:00,8,1,Home,Mobile,0.38,673.43,1,0,3,0,0,0
SESS_00000044,CUST_001266,2024-01-27 12:20:00,79,11,Home,Desktop,0.69,6650.11,0,0,1,0,2,0
SESS_00000045,CUST_000606,2023-01-17 04:44:00,80,26,Product_Page,Desktop,0.73,6734.28,0,1,2,0,0,0
SESS_00000046,CUST_000952,2023-08-04 08:20:00,10,1,Product_Page,Mobile,0.15,841.79,1,0,3,0,0,0
SESS_00000047,CUST_000852,2023-11-24 10:35:00,30,10,Product_Page,Mobile,0.43,2525.36,0,0,1,0,1,0
SESS_00000048,CUST_001075,2023-01-08 05:15:00,37,7,Home,Mobile,0.59,3114.61,0,0,5,0,0,0
SESS_00000049,CUST_000656,2023-08-03 05:26:00,4,2,Product_Page,Mobile,0.18,336.71,4,0,2,0,2,0
SESS_00000050,CUST_001136,2023-01-05 11:37:00,36,18,Product_Page,Mobile,0.88,3030.43,0,0,4,0,3,0
SESS_00000051,CUST_001371,2023-03-03 16:49:00,78,13,Product_Page,Desktop,0.55,6565.93,0,1,1,0,2,0
SESS_00000052,CUST_000028,2023-01-04 22:15:00,2,1,Product_Page,Mobile,0.56,168.36,2,0,1,0,0,0
SESS_00000053,CUST_000681,2023-04-10 14:34:00,11,1,Home,Mobile,0.15,925.96,1,0,3,0,1,0
SESS_00000054,CUST_001991,2023-07-23 16:47:00,69,9,Home,Desktop,0.8,5808.32,4,0,1,0,1,0
SESS_00000055,CUST_000329,2024-02-07 23:41:00,59,8,Home,Tablet,0.11,4966.53,2,0,2,0,0,0
SESS_00000056,CUST_000317,2023-01-27 06:00:00,31,15,Product_Page,Mobile,0.54,2609.54,0,0,0,0,1,0
SESS_00000057,CUST_000126,2023-10-05 02:57:00,105,21,Product_Page,Desktop,0.3,8838.75,2,0,3,0,1,0
SESS_00000058,CUST_001170,2024-01-13 05:10:00,34,4,Product_Page,Desktop,0.56,2862.07,1,0,0,1,0,1
SESS_00000059,CUST_001450,2023-10-30 14:24:00,90,18,Home,Desktop,0.28,7576.07,1,0,0,0,1,0
SESS_00000060,CUST_000343,2023-02-27 11:17:00,6,1,Product_Page,Mobile,0.15,505.07,2,0,0,0,1,0
SESS_00000061,CUST_001744,2023-12-23 02:37:00,79,39,Home,Desktop,0.7,6650.11,1,0,1,0,1,0
SESS_00000062,CUST_000913,2023-01-02 21:57:00,10,2,Home,Mobile,0.75,841.79,1,0,2,0,3,0
SESS_00000063,CUST_001503,2023-03-10 19:42:00,15,1,Search,Tablet,0.7,1262.68,1,0,0,0,0,0
SESS_00000064,CUST_001683,2023-12-22 19:19:00,11,1,Search,Mobile,0.75,925.96,2,1,2,0,0,1
SESS_00000065,CUST_001145,2023-07-29 06:21:00,36,4,Cart,Mobile,0.88,3030.43,1,0,0,0,2,0
SESS_00000066,CUST_001745,2023-05-02 09:37:00,12,1,Home,Mobile,0.6,1010.14,1,0,1,1,1,0
SESS_00000067,CUST_001807,2023-07-19 06:35:00,39,4,Product_Page,Mobile,0.75,3282.96,2,0,1,1,3,0
SESS_00000068,CUST_001835,2023-11-23 17:31:00,90,12,Product_Page,Desktop,0.81,7576.07,1,1,0,0,1,1
SESS_00000069,CUST_000552,2023-11-12 10:22:00,85,42,Home,Desktop,0.56,7155.18,0,1,0,0,0,0
SESS_00000070,CUST_000109,2023-11-09 04:49:00,107,15,Product_Page,Desktop,0.42,9007.11,0,0,0,0,1,0
SESS_00000071,CUST_000471,2023-05-03 11:23:00,35,5,Home,Mobile,0.13,2946.25,1,0,0,1,3,0
SESS_00000072,CUST_000714,2023-08-22 04:57:00,73,10,Home,Desktop,0.39,6145.03,1,0,1,1,0,0
SESS_00000073,CUST_000453,2023-05-15 12:41:00,15,2,Product_Page,Mobile,0.3,1262.68,0,0,2,0,2,0
SESS_00000074,CUST_001057,2024-02-22 19:06:00,29,14,Search,Mobile,0.87,2441.18,3,0,0,0,1,1
SESS_00000075,CUST_001358,2023-11-04 00:22:00,49,8,Product_Page,Desktop,0.86,4124.75,1,0,4,0,1,1
SESS_00000076,CUST_001000,2023-07-07 06:01:00,42,14,Home,Mobile,0.46,3535.5,1,0,2,0,1,0
SESS_00000077,CUST_001203,2023-07-29 02:17:00,39,6,Product_Page,Mobile,0.13,3282.96,0,0,2,0,0,1
SESS_00000078,CUST_001371,2024-01-24 01:50:00,120,17,Cart,Desktop,0.16,10101.43,2,1,2,1,1,0
SESS_00000079,CUST_001758,2024-02-26 19:19:00,16,3,Product_Page,Desktop,0.77,1346.86,1,1,2,0,0,0
SESS_00000080,CUST_000959,2023-10-17 10:40:00,44,14,Search,Mobile,0.38,3703.86,1,0,3,0,0,0
SESS_00000081,CUST_001336,2023-01-22 05:29:00,40,5,Search,Mobile,0.86,3367.14,1,0,0,1,1,0
SESS_00000082,CUST_001877,2023-09-18 19:43:00,8,2,Home,Mobile,0.8,673.43,0,0,3,0,0,0
SESS_00000083,CUST_000673,2024-03-11 08:59:00,39,19,Cart,Tablet,0.59,3282.96,0,0,0,0,1,0
SESS_00000084,CUST_001659,2023-02-06 17:39:00,12,2,Home,Tablet,0.24,1010.14,1,0,2,0,1,0
SESS_00000085,CUST_001283,2023-03-24 16:17:00,51,6,Home,Desktop,0.56,4293.11,2,1,5,1,1,0
SESS_00000086,CUST_001057,2023-06-04 17:47:00,69,17,Cart,Desktop,0.14,5808.32,1,1,3,0,0,1
SESS_00000087,CUST_001202,2023-05-12 01:53:00,4,1,Search,Mobile,0.28,336.71,0,1,3,1,0,0
SESS_00000088,CUST_001780,2023-03-31 13:11:00,40,5,Home,Tablet,0.31,3367.14,1,0,2,0,2,0
SESS_00000089,CUST_001059,2023-07-23 11:47:00,36,4,Product_Page,Mobile,0.12,3030.43,1,0,2,0,3,0
SESS_00000090,CUST_000046,2023-09-10 21:11:00,3,1,Product_Page,Mobile,0.57,252.54,1,0,1,0,3,0
SESS_00000091,CUST_000115,2023-10-13 20:42:00,3,1,Home,Mobile,0.89,252.54,0,0,1,0,1,0
SESS_00000092,CUST_000936,2024-02-15 00:05:00,41,8,Search,Tablet,0.78,3451.32,1,0,1,0,1,0
SESS_00000093,CUST_000585,2023-04-18 21:42:00,25,5,Home,Tablet,0.67,2104.46,2,0,3,0,3,0
SESS_00000094,CUST_000659,2023-12-18 04:42:00,41,13,Home,Mobile,0.42,3451.32,1,0,3,0,2,0
SESS_00000095,CUST_000677,2023-06-26 22:48:00,25,3,Product_Page,Mobile,0.14,2104.46,1,0,2,0,0,0
SESS_00000096,CUST_001304,2023-08-04 16:01:00,37,9,Home,Mobile,0.53,3114.61,1,0,2,0,2,0
SESS_00000097,CUST_000870,2024-02-23 19:46:00,2,1,Product_Page,Mobile,0.11,168.36,0,0,1,1,2,0
SESS_00000098,CUST_000213,2023-06-23 22:41:00,37,18,Search,Mobile,0.76,3114.61,1,1,2,0,1,0
SESS_00000099,CUST_000262,2024-02-04 06:24:00,11,2,Home,Mobile,0.41,925.96,1,1,4,0,1,0
SESS_00000100,CUST_001442,2023-04-06 09:39:00,43,6,Search,Mobile,0.69,3619.68,3,0,1,0,3,0
SESS_00000101,CUST_000585,2024-02-06 15:43:00,7,3,Cart,Tablet,0.17,589.25,2,0,2,0,0,0
SESS_00000102,CUST_000278,2023-06-26 03:36:00,4,1,Product_Page,Mobile,0.53,336.71,3,0,1,0,2,0
SESS_00000103,CUST_001836,2023-11-30 14:57:00,13,3,Cart,Tablet,0.57,1094.32,1,0,4,0,0,0
SESS_00000104,CUST_001423,2023-05-18 13:03:00,87,21,Product_Page,Desktop,0.25,7323.53,0,1,5,0,2,0
SESS_00000105,CUST_001657,2023-08-31 22:31:00,28,3,Search,Desktop,0.8,2357.0,1,0,0,0,0,1
SESS_00000106,CUST_000589,2023-09-30 15:31:00,23,4,Home,Tablet,0.12,1936.11,1,0,2,0,1,0
SESS_00000107,CUST_000792,2023-05-05 01:43:00,36,12,Cart,Mobile,0.37,3030.43,0,0,5,0,0,0
SESS_00000108,CUST_000683,2023-08-14 04:42:00,76,12,Product_Page,Desktop,0.35,6397.57,1,1,2,1,0,0
SESS_00000109,CUST_000061,2023-11-13 03:54:00,108,15,Product_Page,Desktop,0.8,9091.28,1,1,1,0,3,0
SESS_00000110,CUST_000117,2023-01-19 22:44:00,58,11,Search,Tablet,0.77,4882.36,1,1,4,0,1,0
SESS_00000111,CUST_000512,2023-05-17 20:29:00,21,3,Search,Mobile,0.68,1767.75,3,0,1,0,0,0
SESS_00000112,CUST_001578,2023-12-12 02:32:00,2,1,Product_Page,Mobile,0.9,168.36,1,0,5,1,1,0
SESS_00000113,CUST_000541,2024-02-01 04:02:00,45,15,Home,Mobile,0.78,3788.03,3,0,3,0,1,0
SESS_00000114,CUST_000322,2023-04-10 00:20:00,107,13,Product_Page,Desktop,0.51,9007.11,0,1,2,1,1,0
SESS_00000115,CUST_001155,2023-09-02 11:29:00,17,5,Search,Mobile,0.1,1431.04,2,0,4,0,1,1
SESS_00000116,CUST_001592,2024-02-27 13:35:00,43,5,Product_Page,Mobile,0.78,3619.68,4,1,1,1,1,0
SESS_00000117,CUST_000384,2023-09-14 15:24:00,24,4,Product_Page,Mobile,0.26,2020.29,0,0,2,0,1,0
SESS_00000118,CUST_000738,2024-01-08 11:22:00,10,2,Cart,Mobile,0.24,841.79,1,1,3,0,0,0
SESS_00000119,CUST_001043,2023-07-31 17:20:00,26,4,Home,Mobile,0.58,2188.64,1,0,1,0,0,0
SESS_00000120,CUST_000738,2023-01-13 23:27:00,105,21,Home,Desktop,0.73,8838.75,0,1,3,1,2,0
SESS_00000121,CUST_000548,2023-09-14 15:33:00,12,1,Cart,Mobile,0.72,1010.14,0,0,2,0,1,0
SESS_00000122,CUST_000821,2023-06-08 16:30:00,9,3,Product_Page,Mobile,0.14,757.61,1,0,0,0,0,0
SESS_00000123,CUST_000093,2023-01-27 01:11:00,23,5,Home,Mobile,0.58,1936.11,0,1,2,0,1,0
SESS_00000124,CUST_000535,2023-07-27 20:16:00,23,2,Home,Mobile,0.9,1936.11,2,0,2,0,2,0
SESS_00000125,CUST_000511,2023-05-03 09:28:00,41,6,Home,Mobile,0.63,3451.32,1,0,0,0,0,0
SESS_00000126,CUST_000716,2023-03-11 18:16:00,45,6,Product_Page,Tablet,0.44,3788.03,2,0,2,0,1,0
SESS_00000127,CUST_001999,2023-09-18 09:18:00,34,17,Product_Page,Tablet,0.72,2862.07,1,0,3,1,3,0
SESS_00000128,CUST_000588,2024-02-23 03:44:00,21,5,Home,Mobile,0.64,1767.75,3,0,0,0,0,0
SESS_00000129,CUST_000073,2023-06-18 21:47:00,26,8,Product_Page,Mobile,0.11,2188.64,1,0,1,1,1,0
SESS_00000130,CUST_001568,2023-04-11 15:02:00,62,10,Cart,Desktop,0.29,5219.07,2,0,1,0,0,1
SESS_00000131,CUST_001863,2023-06-21 20:06:00,6,1,Product_Page,Mobile,0.52,505.07,1,0,1,0,0,0
SESS_00000132,CUST_000214,2023-10-30 12:41:00,9,3,Cart,Mobile,0.15,757.61,2,1,1,0,0,0
SESS_00000133,CUST_001096,2023-11-27 14:54:00,25,3,Product_Page,Mobile,0.78,2104.46,2,1,0,0,0,0
SESS_00000134,CUST_001264,2023-06-28 10:36:00,19,6,Product_Page,Mobile,0.67,1599.39,1,0,2,0,0,0
SESS_00000135,CUST_000365,2023-10-22 16:06:00,93,31,Home,Desktop,0.32,7828.61,1,1,0,0,1,0
SESS_00000136,CUST_000505,2023-11-28 04:18:00,6,1,Product_Page,Mobile,0.16,505.07,0,0,2,0,0,0
SESS_00000137,CUST_001368,2023-11-11 14:54:00,31,4,Product_Page,Mobile,0.12,2609.54,1,1,2,0,0,0
SESS_00000138,CUST_000179,2023-02-11 16:00:00,118,59,Home,Desktop,0.24,9933.07,0,1,1,0,0,0
SESS_00000139,CUST_001462,2023-12-22 12:28:00,97,12,Product_Page,Desktop,0.78,8165.32,1,1,5,0,1,0
SESS_00000140,CUST_000944,2023-05-31 06:24:00,8,1,Home,Tablet,0.56,673.43,0,0,0,0,1,0
SESS_00000141,CUST_000541,2023-10-07 19:00:00,39,6,Cart,Mobile,0.17,3282.96,1,0,1,0,1,0
SESS_00000142,CUST_000680,2023-11-06 04:28:00,8,2,Product_Page,Mobile,0.82,673.43,0,0,4,0,1,0
SESS_00000143,CUST_000458,2023-12-17 13:36:00,19,3,Home,Mobile,0.86,1599.39,1,0,1,0,0,0
SESS_00000144,CUST_000518,2023-11-06 06:40:00,21,2,Product_Page,Mobile,0.23,1767.75,1,0,3,1,3,0
SESS_00000145,CUST_000983,2023-07-19 22:33:00,36,6,Search,Mobile,0.2,3030.43,0,0,2,0,0,0
SESS_00000146,CUST_000435,2024-01-02 16:26:00,7,1,Search,Mobile,0.44,589.25,1,0,2,0,1,0
SESS_00000147,CUST_001295,2024-01-13 02:44:00,35,5,Product_Page,Mobile,0.28,2946.25,2,1,3,0,2,0
SESS_00000148,CUST_000985,2024-02-17 14:24:00,21,3,Product_Page,Mobile,0.52,1767.75,0,0,3,0,1,0
SESS_00000149,CUST_000648,2023-09-26 21:03:00,36,9,Home,Mobile,0.6,3030.43,1,0,1,0,1,0
SESS_00000150,CUST_000388,2023-02-11 19:26:00,42,10,Home,Mobile,0.56,3535.5,4,0,1,0,1,0
SESS_00000151,CUST_000333,2024-01-07 02:57:00,49,9,Cart,Tablet,0.59,4124.75,2,0,3,0,1,0
SESS_00000152,CUST_001715,2023-10-16 23:02:00,89,11,Cart,Desktop,0.89,7491.89,2,1,1,0,1,0
SESS_00000153,CUST_000057,2023-06-14 06:42:00,16,5,Product_Page,Desktop,0.77,1346.86,1,1,1,0,0,0
SESS_00000154,CUST_000860,2023-01-11 11:20:00,97,12,Cart,Desktop,0.23,8165.32,2,0,1,0,0,0
SESS_00000155,CUST_001004,2023-06-03 01:08:00,88,11,Product_Page,Desktop,0.34,7407.71,0,0,1,0,3,0
SESS_00000156,CUST_001089,2024-01-21 09:59:00,23,3,Home,Mobile,0.83,1936.11,3,1,2,0,0,0
SESS_00000157,CUST_000753,2023-10-03 14:27:00,38,9,Product_Page,Mobile,0.55,3198.78,1,0,1,0,0,1
SESS_00000158,CUST_000767,2023-10-17 03:40:00,12,2,Product_Page,Mobile,0.51,1010.14,0,0,2,0,1,0
SESS_00000159,CUST_001057,2023-02-16 07:02:00,33,5,Search,Mobile,0.45,2777.89,0,0,4,0,0,0
SESS_00000160,CUST_000496,2023-08-19 06:06:00,35,5,Product_Page,Mobile,0.27,2946.25,0,1,7,0,2,0
SESS_00000161,CUST_001413,2023-05-04 11:37:00,21,10,Product_Page,Mobile,0.37,1767.75,0,0,2,1,1,0
SESS_00000162,CUST_000351,2024-01-13 07:48:00,18,4,Product_Page,Mobile,0.69,1515.21,1,0,0,0,1,0
SESS_00000163,CUST_001194,2024-01-03 05:12:00,30,3,Home,Desktop,0.46,2525.36,0,0,1,0,2,0
SESS_00000164,CUST_000758,2023-12-21 16:03:00,52,17,Product_Page,Tablet,0.42,4377.28,2,1,2,0,2,1
SESS_00000165,CUST_000592,2023-06-27 10:53:00,33,16,Search,Mobile,0.6,2777.89,2,0,2,0,1,0
SESS_00000166,CUST_001879,2023-02-22 12:11:00,31,7,Home,Mobile,0.36,2609.54,2,0,1,0,1,0
SESS_00000167,CUST_001580,2023-04-17 10:06:00,20,3,Product_Page,Mobile,0.58,1683.57,1,0,2,1,4,0
SESS_00000168,CUST_000258,2023-09-21 13:12:00,25,5,Search,Desktop,0.88,2104.46,3,0,3,0,2,0
SESS_00000169,CUST_001436,2023-01-29 04:13:00,8,1,Home,Mobile,0.39,673.43,1,0,2,0,0,0
SESS_00000170,CUST_000526,2023-11-21 01:08:00,75,10,Product_Page,Desktop,0.45,6313.39,0,0,1,0,0,0
SESS_00000171,CUST_000153,2023-01-23 12:00:00,107,15,Cart,Desktop,0.61,9007.11,0,1,2,0,2,0
SESS_00000172,CUST_001748,2023-09-06 12:14:00,58,14,Home,Tablet,0.67,4882.36,1,0,4,0,0,0
SESS_00000173,CUST_000561,2023-04-17 06:17:00,48,9,Product_Page,Tablet,0.78,4040.57,1,0,4,0,2,0
SESS_00000174,CUST_000005,2023-04-03 20:56:00,26,8,Home,Mobile,0.61,2188.64,2,1,3,0,0,0
SESS_00000175,CUST_000504,2024-01-06 11:25:00,19,9,Search,Mobile,0.52,1599.39,0,0,1,0,0,1
SESS_00000176,CUST_001455,2023-07-26 20:11:00,39,4,Product_Page,Mobile,0.74,3282.96,0,1,2,0,3,0
SESS_00000177,CUST_001121,2023-12-06 15:02:00,56,18,Product_Page,Tablet,0.65,4714.0,0,0,1,1,0,0
SESS_00000178,CUST_000678,2023-03-19 03:23:00,100,14,Cart,Desktop,0.29,8417.86,2,0,1,1,1,0
SESS_00000179,CUST_001794,2023-02-15 08:43:00,42,6,Product_Page,Mobile,0.57,3535.5,5,0,3,0,2,1
SESS_00000180,CUST_000467,2023-06-29 03:30:00,24,3,Search,Desktop,0.61,2020.29,1,0,3,0,2,0
SESS_00000181,CUST_000406,2023-12-09 12:59:00,72,18,Search,Desktop,0.17,6060.86,2,1,1,0,0,1
SESS_00000182,CUST_000090,2023-05-15 23:47:00,44,11,Product_Page,Mobile,0.24,3703.86,0,0,0,0,2,0
SESS_00000183,CUST_001098,2023-07-06 05:24:00,5,1,Product_Page,Mobile,0.43,420.89,1,0,3,0,1,0
SESS_00000184,CUST_001810,2024-01-20 04:52:00,17,4,Product_Page,Mobile,0.74,1431.04,0,0,1,0,0,1
SESS_00000185,CUST_000589,2023-12-02 15:09:00,12,3,Product_Page,Mobile,0.11,1010.14,0,0,1,0,1,0
SESS_00000186,CUST_000073,2023-06-13 23:59:00,25,3,Home,Mobile,0.66,2104.46,2,0,0,0,0,0
SESS_00000187,CUST_001666,2023-05-02 01:48:00,27,13,Product_Page,Mobile,0.27,2272.82,1,1,2,0,0,0
SESS_00000188,CUST_001969,2023-03-01 07:39:00,3,1,Home,Mobile,0.77,252.54,0,0,1,0,1,0
SESS_00000189,CUST_000546,2023-07-07 20:33:00,40,13,Cart,Mobile,0.7,3367.14,1,1,2,0,2,0
SESS_00000190,CUST_000970,2023-07-06 20:10:00,33,8,Product_Page,Desktop,0.15,2777.89,1,0,2,0,1,0
SESS_00000191,CUST_000106,2023-09-17 15:02:00,25,5,Product_Page,Mobile,0.68,2104.46,2,0,2,0,0,0
SESS_00000192,CUST_001152,2024-02-11 21:14:00,16,4,Product_Page,Mobile,0.26,1346.86,0,0,2,0,0,0
SESS_00000193,CUST_000750,2023-07-03 12:15:00,34,8,Product_Page,Mobile,0.15,2862.07,0,0,2,1,1,1
SESS_00000194,CUST_001209,2023-10-12 02:33:00,11,1,Product_Page,Mobile,0.69,925.96,0,1,3,0,2,1
SESS_00000195,CUST_000534,2023-04-18 19:36:00,30,7,Search,Mobile,0.42,2525.36,1,0,3,0,3,0
SESS_00000196,CUST_001086,2024-02-09 12:37:00,79,39,Home,Desktop,0.6,6650.11,0,1,2,0,0,0
SESS_00000197,CUST_000090,2023-06-26 22:23:00,70,10,Product_Page,Desktop,0.12,5892.5,1,0,0,0,3,0
SESS_00000198,CUST_001965,2023-04-17 06:58:00,75,37,Cart,Desktop,0.25,6313.39,0,0,3,0,0,1
SESS_00000199,CUST_000944,2023-11-16 23:08:00,27,3,Search,Mobile,0.87,2272.82,0,0,1,1,0,0
SESS_00000200,CUST_000796,2023-01-01 18:43:00,20,10,Cart,Mobile,0.49,1683.57,0,1,3,0,0,0
SESS_00000201,CUST_000623,2023-05-09 14:56:00,28,14,Cart,Tablet,0.15,2357.0,0,1,6,0,1,0
SESS_00000202,CUST_000211,2023-08-21 10:00:00,50,10,Product_Page,Desktop,0.2,4208.93,1,0,3,0,0,0
SESS_00000203,CUST_001392,2024-03-05 12:22:00,108,27,Product_Page,Desktop,0.4,9091.28,1,0,2,0,2,0
SESS_00000204,CUST_001057,2023-11-01 19:40:00,52,26,Search,Tablet,0.58,4377.28,4,0,1,0,2,0
SESS_00000205,CUST_001323,2023-07-23 10:34:00,58,7,Product_Page,Desktop,0.66,4882.36,0,1,2,0,2,0
SESS_00000206,CUST_001210,2023-09-12 23:45:00,99,33,Search,Desktop,0.71,8333.68,2,1,1,0,0,0
SESS_00000207,CUST_000336,2023-04-14 05:18:00,13,6,Product_Page,Mobile,0.17,1094.32,1,0,0,0,2,0
SESS_00000208,CUST_000517,2023-05-03 00:03:00,59,19,Product_Page,Desktop,0.6,4966.53,0,0,2,1,0,0
SESS_00000209,CUST_001414,2023-02-02 18:06:00,119,59,Search,Desktop,0.47,10017.25,1,0,2,0,0,0
SESS_00000210,CUST_001693,2023-08-08 18:30:00,8,1,Home,Mobile,0.87,673.43,0,0,4,0,1,0
SESS_00000211,CUST_001737,2023-05-07 12:48:00,38,9,Home,Desktop,0.57,3198.78,0,0,4,0,1,0
SESS_00000212,CUST_001212,2023-02-10 21:51:00,7,1,Home,Mobile,0.23,589.25,1,0,2,0,2,0
SESS_00000213,CUST_000617,2024-01-03 04:53:00,5,1,Home,Mobile,0.46,420.89,1,1,3,0,1,0
SESS_00000214,CUST_000316,2023-10-08 12:06:00,10,1,Home,Mobile,0.63,841.79,1,0,2,0,2,0
SESS_00000215,CUST_000296,2023-04-21 05:35:00,28,4,Home,Mobile,0.41,2357.0,1,1,2,0,0,0
SESS_00000216,CUST_001754,2024-01-25 03:17:00,2,1,Home,Mobile,0.76,168.36,0,0,3,0,1,0
SESS_00000217,CUST_001580,2023-03-09 20:18:00,23,5,Product_Page,Mobile,0.65,1936.11,0,0,1,0,0,0
SESS_00000218,CUST_000280,2023-03-16 08:47:00,40,13,Search,Mobile,0.65,3367.14,0,1,1,1,1,0
SESS_00000219,CUST_000350,2023-05-28 07:01:00,11,3,Home,Mobile,0.22,925.96,3,1,1,0,2,0
SESS_00000220,CUST_001416,2023-03-09 22:03:00,9,4,Home,Desktop,0.79,757.61,1,0,1,0,4,0
SESS_00000221,CUST_000198,2023-04-08 04:28:00,75,12,Cart,Desktop,0.47,6313.39,1,1,3,0,1,0
SESS_00000222,CUST_000351,2023-10-06 21:43:00,12,3,Home,Mobile,0.17,1010.14,0,1,3,0,0,0
