ticket_id,customer_id,issue_type,created_date,resolution_time_hours,status,priority
TKT_000096,CUST_000361,Refund Request,2023-03-20 11:51:00,,Open,Low
TKT_000097,CUST_000490,General Inquiry,2023-08-11 22:53:00,12.0,Resolved,Low
TKT_000098,CUST_000490,General Inquiry,2023-01-03 01:54:00,,Open,Low
TKT_000099,CUST_001282,Technical Support,2023-08-26 08:17:00,49.0,Resolved,Low
TKT_000100,CUST_000605,Payment Issue,2023-05-27 05:55:00,33.0,Resolved,Low
TKT_000101,CUST_001305,Product Defect,2023-11-18 08:29:00,38.0,Resolved,Medium
TKT_000102,CUST_000020,Account Problem,2023-06-24 14:52:00,19.0,Closed,High
TKT_000103,CUST_001341,Return Request,2024-02-01 14:39:00,,In Progress,Low
TKT_000104,CUST_001532,Product Defect,2023-12-05 05:58:00,112.0,Resolved,Medium
TKT_000105,CUST_001546,Technical Support,2023-05-27 09:02:00,,Open,Medium
TKT_000106,CUST_000324,Product Defect,2023-10-12 15:16:00,,In Progress,Medium
TKT_000107,CUST_000155,Product Defect,2023-09-21 04:26:00,154.0,Closed,High
TKT_000108,CUST_000155,Website Error,2023-11-02 00:58:00,61.0,Resolved,Low
TKT_000109,CUST_000778,Product Information,2023-07-28 18:53:00,5.0,Resolved,Low
TKT_000110,CUST_000778,Refund Request,2023-05-27 17:33:00,43.0,Resolved,Low
TKT_000111,CUST_000526,Website Error,2023-01-06 13:37:00,123.0,Resolved,Medium
TKT_000112,CUST_001452,Product Defect,2023-04-06 10:53:00,100.0,Resolved,Low
TKT_000113,CUST_000856,Product Information,2023-07-22 11:48:00,20.0,Closed,Low
TKT_000114,CUST_001605,Order Cancellation,2023-12-27 05:43:00,124.0,Resolved,Medium
TKT_000115,CUST_001605,Refund Request,2023-05-02 02:28:00,,In Progress,Low
TKT_000116,CUST_000870,Product Information,2023-08-27 22:07:00,,In Progress,Medium
TKT_000117,CUST_000870,General Inquiry,2023-02-14 07:01:00,,In Progress,High
TKT_000118,CUST_001976,Product Defect,2023-07-12 03:10:00,69.0,Closed,Medium
TKT_000119,CUST_001325,Account Problem,2023-07-30 16:15:00,24.0,Resolved,Medium
TKT_000120,CUST_001325,Product Defect,2023-04-21 22:49:00,135.0,Resolved,Medium
TKT_000121,CUST_000924,Delivery Delay,2023-08-06 21:02:00,13.0,Resolved,Medium
TKT_000122,CUST_000924,Billing Inquiry,2023-12-10 16:31:00,,In Progress,Medium
TKT_000123,CUST_000208,Billing Inquiry,2023-06-04 23:37:00,43.0,Resolved,Medium
TKT_000124,CUST_000208,Product Defect,2023-07-02 07:06:00,31.0,Resolved,Low
TKT_000125,CUST_001253,Return Request,2023-03-21 18:00:00,126.0,Closed,Medium
TKT_000126,CUST_001253,Account Problem,2023-07-21 16:57:00,4.0,Closed,Medium
TKT_000127,CUST_000512,Product Defect,2024-02-16 15:19:00,167.0,Resolved,Medium
TKT_000128,CUST_000566,Refund Request,2023-05-03 16:58:00,139.0,Resolved,Medium
TKT_000129,CUST_001759,Product Information,2024-02-04 07:07:00,,In Progress,Medium
TKT_000130,CUST_001347,Refund Request,2023-09-04 18:34:00,161.0,Resolved,Medium
TKT_000131,CUST_001957,Product Defect,2024-03-04 02:04:00,79.0,Resolved,Medium
TKT_000132,CUST_001238,Product Information,2023-04-05 14:53:00,,In Progress,Medium
TKT_000133,CUST_001238,Billing Inquiry,2024-03-06 21:22:00,27.0,Resolved,Low
TKT_000134,CUST_001238,Order Cancellation,2023-02-08 01:59:00,64.0,Resolved,Low
TKT_000135,CUST_001935,Payment Issue,2023-07-28 02:51:00,53.0,Resolved,Low
TKT_000136,CUST_001090,Product Information,2023-03-17 09:01:00,,Open,Medium
TKT_000137,CUST_000853,Payment Issue,2023-12-10 19:53:00,,Open,Low
TKT_000138,CUST_000853,Delivery Delay,2023-12-15 12:52:00,,In Progress,Medium
TKT_000139,CUST_000853,Billing Inquiry,2023-03-17 21:25:00,24.0,Resolved,Medium
TKT_000140,CUST_000259,Billing Inquiry,2023-05-31 19:55:00,67.0,Resolved,Medium
TKT_000141,CUST_000259,Technical Support,2024-02-24 04:19:00,105.0,Resolved,Medium
TKT_000142,CUST_000619,Order Cancellation,2024-02-26 16:03:00,116.0,Resolved,High
TKT_000143,CUST_001091,Delivery Delay,2023-04-19 00:09:00,22.0,Resolved,Medium
TKT_000144,CUST_000271,Billing Inquiry,2023-04-21 06:04:00,,In Progress,Medium
TKT_000145,CUST_001277,Return Request,2023-06-23 09:07:00,,Open,Low
TKT_000146,CUST_001378,Website Error,2023-10-17 06:32:00,31.0,Resolved,Medium
TKT_000147,CUST_000371,Refund Request,2023-04-20 14:36:00,26.0,Resolved,Low
TKT_000148,CUST_000377,Technical Support,2023-04-08 10:19:00,51.0,Resolved,Low
TKT_000149,CUST_001164,General Inquiry,2024-01-25 11:56:00,17.0,Resolved,Low
TKT_000150,CUST_001706,General Inquiry,2023-06-14 03:16:00,2.0,Resolved,Low
TKT_000151,CUST_001952,Account Problem,2024-03-09 08:16:00,,In Progress,Medium
TKT_000152,CUST_001699,Return Request,2024-01-31 10:40:00,149.0,Resolved,High
TKT_000153,CUST_000464,Billing Inquiry,2023-07-22 01:50:00,11.0,Resolved,Medium
TKT_000154,CUST_000464,Return Request,2023-07-30 15:29:00,78.0,Resolved,Low
TKT_000155,CUST_000333,Website Error,2023-01-04 12:25:00,112.0,Resolved,Low
TKT_000156,CUST_000333,Payment Issue,2023-08-04 05:05:00,,In Progress,Low
TKT_000157,CUST_001419,Refund Request,2023-07-14 03:12:00,45.0,Resolved,Low
TKT_000158,CUST_001419,Return Request,2023-07-22 09:01:00,63.0,Resolved,Low
TKT_000159,CUST_001763,Refund Request,2024-02-20 08:35:00,74.0,Resolved,Low
TKT_000160,CUST_001763,Delivery Delay,2023-06-27 14:01:00,3.0,Resolved,Low
TKT_000161,CUST_000946,Product Defect,2024-02-07 14:04:00,134.0,Resolved,Medium
TKT_000162,CUST_000946,Product Defect,2024-01-13 18:55:00,139.0,Resolved,Medium
TKT_000163,CUST_001561,Refund Request,2023-05-23 03:35:00,154.0,Closed,Low
TKT_000164,CUST_000223,General Inquiry,2023-08-05 02:41:00,,In Progress,Medium
TKT_000165,CUST_001852,Refund Request,2024-02-07 08:35:00,,Open,Medium
TKT_000166,CUST_001852,Account Problem,2024-01-10 06:05:00,,Open,Medium
TKT_000167,CUST_001959,Delivery Delay,2023-12-04 13:51:00,5.0,Resolved,Medium
TKT_000168,CUST_000159,Website Error,2023-01-26 08:28:00,148.0,Resolved,Medium
TKT_000169,CUST_000653,Product Defect,2024-02-26 11:12:00,,Open,Medium
TKT_000170,CUST_000653,Return Request,2024-02-13 09:41:00,26.0,Resolved,Low
TKT_000171,CUST_001842,Refund Request,2023-12-05 02:55:00,,In Progress,Medium
TKT_000172,CUST_000264,Delivery Delay,2024-01-24 02:06:00,14.0,Resolved,Low
TKT_000173,CUST_000425,Product Information,2023-06-20 16:12:00,13.0,Resolved,Low
TKT_000174,CUST_000425,Billing Inquiry,2023-03-13 14:29:00,,Open,Low
TKT_000175,CUST_000425,Product Information,2023-03-15 17:11:00,20.0,Closed,Low
TKT_000176,CUST_001831,Billing Inquiry,2023-09-08 10:32:00,51.0,Resolved,Medium
TKT_000177,CUST_001488,General Inquiry,2024-02-18 10:06:00,6.0,Resolved,Low
TKT_000178,CUST_000711,General Inquiry,2024-01-07 23:10:00,10.0,Resolved,Low
TKT_000179,CUST_001005,Product Information,2023-05-25 19:17:00,,Open,Medium
TKT_000180,CUST_001063,Delivery Delay,2023-12-19 16:31:00,,In Progress,Medium
TKT_000181,CUST_000145,Return Request,2024-01-06 22:37:00,95.0,Closed,Low
TKT_000182,CUST_000584,Billing Inquiry,2023-07-26 14:18:00,,Open,Medium
TKT_000183,CUST_001812,Product Information,2024-01-11 08:54:00,11.0,Resolved,Medium
TKT_000184,CUST_001132,Technical Support,2023-12-23 22:27:00,25.0,Closed,Low
TKT_000185,CUST_001132,Order Cancellation,2023-11-01 06:41:00,86.0,Resolved,High
TKT_000186,CUST_000232,Delivery Delay,2023-07-18 12:11:00,,Open,Low
TKT_000187,CUST_001737,General Inquiry,2023-07-06 14:47:00,2.0,Closed,Low
TKT_000188,CUST_001124,Refund Request,2024-02-22 08:10:00,163.0,Resolved,Medium
TKT_000189,CUST_000126,Product Defect,2023-08-20 14:48:00,40.0,Closed,Low
TKT_000190,CUST_000369,Product Information,2023-04-06 14:56:00,4.0,Closed,Low
TKT_000191,CUST_001624,Product Defect,2023-07-14 03:12:00,,In Progress,Low
TKT_000192,CUST_000076,Billing Inquiry,2023-07-17 16:34:00,,In Progress,High
TKT_000193,CUST_000754,Return Request,2023-10-13 03:52:00,,In Progress,Low
TKT_000194,CUST_001425,Product Defect,2023-11-02 18:02:00,137.0,Resolved,Medium
TKT_000195,CUST_001835,Order Cancellation,2023-09-19 11:20:00,122.0,Resolved,Low
TKT_000196,CUST_001835,Delivery Delay,2023-06-19 14:10:00,2.0,Resolved,Low
TKT_000197,CUST_000577,Billing Inquiry,2023-08-19 22:05:00,24.0,Closed,Medium
TKT_000198,CUST_001574,Product Defect,2024-01-23 01:32:00,82.0,Resolved,Low
TKT_000199,CUST_000026,Account Problem,2023-05-07 21:11:00,18.0,Resolved,Medium
TKT_000200,CUST_000688,Account Problem,2024-02-23 04:20:00,58.0,Resolved,Low
TKT_000201,CUST_001056,Return Request,2023-01-03 03:46:00,85.0,Closed,Medium
TKT_000202,CUST_000267,Website Error,2023-06-07 17:48:00,72.0,Resolved,Low
TKT_000203,CUST_000267,Technical Support,2023-07-20 16:06:00,38.0,Resolved,Low
TKT_000204,CUST_001014,Refund Request,2023-10-26 17:31:00,133.0,Closed,Low
TKT_000205,CUST_001380,Order Cancellation,2023-08-31 09:36:00,139.0,Resolved,Medium
TKT_000206,CUST_001380,General Inquiry,2023-02-12 18:45:00,10.0,Resolved,Low
TKT_000207,CUST_001261,Product Defect,2024-01-25 15:53:00,,Open,High
TKT_000208,CUST_000137,Delivery Delay,2023-03-16 11:54:00,24.0,Closed,Medium
TKT_000209,CUST_000575,Refund Request,2023-10-21 07:58:00,,In Progress,Low
TKT_000210,CUST_000028,Product Defect,2023-01-31 01:38:00,44.0,Resolved,Medium
TKT_000211,CUST_000535,Website Error,2023-02-28 13:46:00,74.0,Resolved,Low
TKT_000212,CUST_001942,Website Error,2024-02-12 15:30:00,96.0,Closed,Medium
TKT_000213,CUST_000233,Account Problem,2023-08-03 05:35:00,9.0,Closed,Medium
TKT_000214,CUST_001502,Billing Inquiry,2023-07-22 03:24:00,30.0,Resolved,Low
TKT_000215,CUST_001502,General Inquiry,2024-01-10 05:45:00,18.0,Resolved,Low
TKT_000216,CUST_001408,Order Cancellation,2023-04-16 18:55:00,149.0,Resolved,Low
TKT_000217,CUST_000848,Refund Request,2023-08-16 11:43:00,71.0,Resolved,Medium
TKT_000218,CUST_001202,Website Error,2023-11-08 17:58:00,89.0,Resolved,Medium
TKT_000219,CUST_001202,Product Defect,2023-01-09 14:42:00,100.0,Resolved,Medium
TKT_000220,CUST_000119,General Inquiry,2023-10-21 22:37:00,4.0,Closed,Low
TKT_000221,CUST_000714,Product Defect,2023-10-12 19:43:00,135.0,Resolved,Low
TKT_000222,CUST_000714,Payment Issue,2023-03-23 02:23:00,34.0,Resolved,Medium
TKT_000223,CUST_000828,Return Request,2023-09-26 21:09:00,49.0,Closed,Medium
TKT_000224,CUST_001658,Delivery Delay,2023-06-09 02:46:00,11.0,Resolved,Medium
TKT_000225,CUST_001028,Refund Request,2023-11-27 12:34:00,51.0,Closed,Low
TKT_000226,CUST_000034,Payment Issue,2023-06-29 13:05:00,27.0,Resolved,Medium
TKT_000227,CUST_000608,General Inquiry,2023-01-04 13:27:00,16.0,Closed,Low
TKT_000228,CUST_000064,Billing Inquiry,2023-02-08 10:23:00,51.0,Closed,Low
TKT_000229,CUST_000064,Account Problem,2023-07-23 10:00:00,53.0,Closed,High
TKT_000230,CUST_000037,Website Error,2023-08-15 12:23:00,33.0,Closed,Low
TKT_000231,CUST_000626,Website Error,2023-06-26 13:03:00,,In Progress,High
TKT_000232,CUST_000626,Return Request,2023-12-26 14:08:00,,Open,High
TKT_000233,CUST_000745,Refund Request,2023-07-13 20:18:00,102.0,Resolved,Low
TKT_000234,CUST_000745,Technical Support,2023-10-12 07:00:00,,Open,Low
TKT_000235,CUST_000748,Refund Request,2023-03-06 18:00:00,132.0,Resolved,Medium
TKT_000236,CUST_000372,Account Problem,2023-09-04 02:44:00,,Open,Low
TKT_000237,CUST_000372,Payment Issue,2023-12-23 22:27:00,29.0,Resolved,Medium
TKT_000238,CUST_001702,Billing Inquiry,2023-06-15 03:07:00,69.0,Resolved,Medium
TKT_000239,CUST_001702,Payment Issue,2023-03-22 20:44:00,,In Progress,Low
TKT_000240,CUST_001702,Product Information,2023-03-29 08:55:00,,In Progress,Medium
TKT_000241,CUST_000767,Website Error,2023-10-09 09:50:00,,In Progress,Medium
TKT_000242,CUST_001882,Website Error,2023-10-01 03:38:00,70.0,Closed,Low
TKT_000243,CUST_000306,Product Defect,2023-08-16 14:07:00,84.0,Resolved,Medium
TKT_000244,CUST_000839,General Inquiry,2023-02-08 11:07:00,,In Progress,Medium
TKT_000245,CUST_000839,Product Information,2023-08-18 13:30:00,19.0,Resolved,Medium
TKT_000246,CUST_000839,Website Error,2023-03-18 07:49:00,116.0,Resolved,Low
TKT_000247,CUST_000642,Return Request,2023-02-09 07:22:00,69.0,Closed,Medium
TKT_000248,CUST_000570,Payment Issue,2023-08-23 11:37:00,32.0,Resolved,High
TKT_000249,CUST_000800,Technical Support,2023-06-29 02:42:00,96.0,Closed,Low
TKT_000250,CUST_001913,Delivery Delay,2023-01-23 07:32:00,21.0,Resolved,High
TKT_000251,CUST_000115,Refund Request,2024-01-29 22:46:00,166.0,Resolved,Medium
TKT_000252,CUST_000827,Product Defect,2023-08-26 16:20:00,,In Progress,High
TKT_000253,CUST_000827,Website Error,2023-12-03 09:42:00,,In Progress,Medium
TKT_000254,CUST_001003,Product Information,2023-05-07 21:32:00,12.0,Resolved,Low
TKT_000255,CUST_000366,Product Information,2023-04-02 16:13:00,14.0,Resolved,Low
TKT_000256,CUST_000366,Billing Inquiry,2024-02-16 12:16:00,63.0,Closed,Medium
TKT_000257,CUST_000837,Product Information,2023-01-11 20:37:00,15.0,Resolved,Low
TKT_000258,CUST_000837,Refund Request,2023-05-04 13:59:00,89.0,Resolved,Low
TKT_000259,CUST_001031,Website Error,2023-04-22 06:36:00,111.0,Resolved,Low
TKT_000260,CUST_001122,Payment Issue,2024-01-08 12:17:00,,Open,High
TKT_000261,CUST_001122,Account Problem,2023-03-14 07:04:00,,In Progress,Medium
TKT_000262,CUST_001041,Delivery Delay,2023-05-30 18:55:00,19.0,Resolved,Low
TKT_000263,CUST_001041,Payment Issue,2023-02-03 14:11:00,50.0,Resolved,Medium
TKT_000264,CUST_001839,Return Request,2023-09-22 01:54:00,,Open,Medium
TKT_000265,CUST_000510,Refund Request,2024-01-11 18:45:00,57.0,Closed,Medium
TKT_000266,CUST_000606,Technical Support,2023-09-03 16:07:00,,In Progress,Low
TKT_000267,CUST_000606,Billing Inquiry,2023-07-28 05:13:00,56.0,Resolved,Low
TKT_000268,CUST_001439,Website Error,2024-02-23 09:36:00,123.0,Resolved,Medium
TKT_000269,CUST_001439,Refund Request,2023-11-04 23:05:00,105.0,Resolved,Medium
TKT_000270,CUST_000766,General Inquiry,2023-09-05 16:16:00,3.0,Resolved,Low
TKT_000271,CUST_001079,Order Cancellation,2023-02-12 06:46:00,,Open,Low
TKT_000272,CUST_001894,Delivery Delay,2023-08-08 04:09:00,15.0,Resolved,Medium
TKT_000273,CUST_000019,Return Request,2024-02-23 22:46:00,75.0,Resolved,Low
TKT_000274,CUST_000019,Order Cancellation,2023-07-25 00:25:00,33.0,Resolved,Low
TKT_000275,CUST_000019,Technical Support,2023-04-04 15:21:00,95.0,Resolved,Low
TKT_000276,CUST_001174,Website Error,2024-03-04 23:59:00,91.0,Closed,Low
TKT_000277,CUST_000887,Return Request,2024-02-17 04:22:00,87.0,Resolved,Low
TKT_000278,CUST_001471,Technical Support,2023-11-24 23:31:00,,In Progress,Medium
TKT_000279,CUST_001263,Website Error,2024-03-14 17:01:00,,In Progress,Medium
TKT_000280,CUST_000842,Billing Inquiry,2024-02-09 07:02:00,,In Progress,Low
TKT_000281,CUST_000493,Product Defect,2023-10-08 21:43:00,135.0,Closed,Medium
TKT_000282,CUST_000001,Billing Inquiry,2023-11-03 10:30:00,61.0,Resolved,Low
TKT_000283,CUST_001176,Refund Request,2023-03-18 06:01:00,97.0,Resolved,High
TKT_000284,CUST_001176,Billing Inquiry,2023-06-09 10:42:00,68.0,Closed,Low
TKT_000285,CUST_000647,Website Error,2023-04-13 01:44:00,48.0,Resolved,Medium
TKT_000286,CUST_001535,Delivery Delay,2023-12-15 04:11:00,14.0,Resolved,Low
TKT_000287,CUST_001728,Delivery Delay,2023-04-07 17:28:00,,Open,Low
TKT_000288,CUST_000970,Product Defect,2023-08-20 21:34:00,112.0,Resolved,High
TKT_000289,CUST_000970,Product Information,2023-11-04 05:04:00,5.0,Resolved,Medium
TKT_000290,CUST_000742,Refund Request,2023-07-12 19:54:00,,Open,Low
TKT_000291,CUST_000742,Payment Issue,2024-02-14 15:21:00,,In Progress,Low
TKT_000292,CUST_000658,Website Error,2024-01-26 20:50:00,138.0,Resolved,Medium
TKT_000293,CUST_000107,Account Problem,2023-05-25 12:54:00,14.0,Resolved,Medium
TKT_000294,CUST_001344,Product Information,2023-07-03 14:16:00,2.0,Resolved,Low
TKT_000295,CUST_000412,Return Request,2023-09-14 12:24:00,45.0,Resolved,High
TKT_000296,CUST_000907,Product Information,2023-08-09 22:18:00,,In Progress,Medium
TKT_000297,CUST_001997,Website Error,2023-11-17 19:42:00,82.0,Resolved,Medium
TKT_000298,CUST_001918,Product Defect,2023-06-24 07:26:00,38.0,Closed,Low
TKT_000299,CUST_001629,Account Problem,2023-05-07 17:28:00,61.0,Resolved,Low
TKT_000300,CUST_000822,Account Problem,2023-02-20 12:16:00,,In Progress,Medium
TKT_000301,CUST_001352,Technical Support,2023-06-27 12:43:00,,Open,Low
TKT_000302,CUST_001651,Delivery Delay,2023-01-15 04:55:00,3.0,Resolved,Medium
TKT_000303,CUST_001853,Return Request,2024-02-10 10:13:00,53.0,Resolved,Low
TKT_000304,CUST_001777,General Inquiry,2023-08-05 09:00:00,3.0,Resolved,Medium
TKT_000305,CUST_000621,Technical Support,2024-02-26 14:52:00,122.0,Resolved,Low
TKT_000306,CUST_000621,Product Defect,2023-07-09 16:36:00,98.0,Resolved,High
TKT_000307,CUST_001513,Website Error,2023-10-16 14:25:00,44.0,Resolved,Low
TKT_000308,CUST_001970,Product Defect,2023-10-16 00:45:00,146.0,Resolved,Low
TKT_000309,CUST_000993,Billing Inquiry,2023-05-21 18:38:00,32.0,Resolved,Medium
TKT_000310,CUST_001052,Technical Support,2023-09-22 06:29:00,138.0,Resolved,Low
TKT_000311,CUST_001189,Billing Inquiry,2023-09-15 11:30:00,,Open,Medium
