transaction_id,customer_id,product_id,transaction_date,amount_spent,payment_method,product_category,quantity
TXN_00000084,CUST_001433,PROD_0217,2023-09-01 15:18:00,197759,UPI,Electronics,2
TXN_00000085,CUST_000593,PROD_0139,2023-10-29 15:23:00,32569,COD,Electronics,1
TXN_00000086,CUST_001368,PROD_0086,2023-07-17 22:51:00,118301,Credit Card,Electronics,1
TXN_00000087,CUST_000220,PROD_0176,2024-02-21 13:09:00,43289,UPI,Home & Living,1
TXN_00000088,CUST_000058,PROD_0007,2023-03-03 18:24:00,127283,UPI,Electronics,1
TXN_00000089,CUST_000023,PROD_0248,2023-01-18 20:41:00,33993,Net Banking,Fashion,3
TXN_00000090,CUST_001830,PROD_0259,2023-08-16 01:58:00,124832,Net Banking,Electronics,1
TXN_00000091,CUST_001858,PROD_0268,2023-03-13 14:56:00,84844,UPI,Electronics,1
TXN_00000092,CUST_001481,PROD_0131,2023-01-05 05:22:00,23749,COD,Home & Living,1
TXN_00000093,CUST_001026,PROD_0210,2023-09-15 06:22:00,11136,UPI,Fashion,1
TXN_00000094,CUST_001849,PROD_0087,2023-07-19 16:04:00,55490,UPI,Electronics,1
TXN_00000095,CUST_000358,PROD_0062,2023-06-30 20:46:00,44369,Credit Card,Electronics,1
TXN_00000096,CUST_001154,PROD_0210,2024-01-02 04:17:00,9576,UPI,Fashion,1
TXN_00000097,CUST_001608,PROD_0144,2023-06-05 12:04:00,14622,Debit Card,Electronics,1
TXN_00000098,CUST_001877,PROD_0098,2023-09-05 12:30:00,67150,Credit Card,Electronics,1
TXN_00000099,CUST_001241,PROD_0280,2023-10-22 22:59:00,64598,Debit Card,Electronics,1
TXN_00000100,CUST_001039,PROD_0137,2023-09-27 08:08:00,5596,Net Banking,Fashion,1
TXN_00000101,CUST_001430,PROD_0256,2023-10-25 11:37:00,2067,UPI,Fashion,1
TXN_00000102,CUST_001265,PROD_0286,2023-02-04 01:01:00,2890,Net Banking,Fashion,1
TXN_00000103,CUST_001745,PROD_0189,2023-04-29 03:42:00,123115,COD,Electronics,1
TXN_00000104,CUST_000218,PROD_0091,2023-12-14 15:20:00,94034,UPI,Home & Living,2
TXN_00000105,CUST_001557,PROD_0274,2024-01-31 23:50:00,68183,Credit Card,Electronics,1
TXN_00000106,CUST_000485,PROD_0271,2023-03-31 23:57:00,179987,UPI,Electronics,3
TXN_00000107,CUST_000787,PROD_0084,2023-08-04 02:03:00,31775,Debit Card,Electronics,1
TXN_00000108,CUST_001254,PROD_0182,2023-01-20 23:04:00,34378,Credit Card,Electronics,1
TXN_00000109,CUST_000905,PROD_0248,2023-11-07 20:53:00,11938,UPI,Fashion,1
TXN_00000110,CUST_000061,PROD_0163,2023-06-14 03:44:00,120983,UPI,Electronics,1
TXN_00000111,CUST_000921,PROD_0255,2023-11-23 18:35:00,35475,Debit Card,Electronics,1
TXN_00000112,CUST_000410,PROD_0213,2023-09-09 14:43:00,210967,Debit Card,Electronics,2
TXN_00000113,CUST_000586,PROD_0162,2024-01-15 05:27:00,107810,UPI,Electronics,1
TXN_00000114,CUST_001667,PROD_0045,2024-02-09 06:05:00,34163,Wallet,Home & Living,1
TXN_00000115,CUST_001193,PROD_0187,2023-12-09 03:13:00,97266,UPI,Electronics,1
TXN_00000116,CUST_000069,PROD_0291,2023-01-03 11:49:00,93469,COD,Electronics,1
TXN_00000117,CUST_000836,PROD_0220,2023-02-06 10:11:00,218401,Net Banking,Electronics,3
TXN_00000118,CUST_001398,PROD_0114,2024-01-08 20:33:00,45870,Credit Card,Electronics,1
TXN_00000119,CUST_001017,PROD_0274,2023-04-17 18:52:00,67262,Credit Card,Electronics,1
TXN_00000120,CUST_000971,PROD_0076,2023-07-02 19:57:00,6472,UPI,Home & Living,1
TXN_00000121,CUST_001145,PROD_0184,2024-02-15 02:28:00,6702,COD,Fashion,3
TXN_00000122,CUST_000876,PROD_0236,2023-02-06 18:05:00,26748,Wallet,Fashion,2
TXN_00000123,CUST_000261,PROD_0167,2023-06-02 03:07:00,233784,Debit Card,Electronics,2
TXN_00000124,CUST_001022,PROD_0118,2023-11-04 17:21:00,24773,Credit Card,Fashion,2
TXN_00000125,CUST_000047,PROD_0033,2023-05-29 08:24:00,9864,UPI,Fashion,1
TXN_00000126,CUST_001441,PROD_0161,2023-03-22 09:04:00,310489,UPI,Electronics,3
TXN_00000127,CUST_001095,PROD_0141,2024-03-12 16:59:00,7401,UPI,Fashion,1
TXN_00000128,CUST_001252,PROD_0160,2023-07-24 19:03:00,26648,UPI,Home & Living,1
TXN_00000129,CUST_001119,PROD_0035,2023-02-26 18:30:00,12998,Wallet,Fashion,1
TXN_00000130,CUST_001919,PROD_0113,2023-05-15 20:01:00,64194,Wallet,Electronics,1
TXN_00000131,CUST_000067,PROD_0138,2023-05-14 06:21:00,227741,Debit Card,Electronics,2
TXN_00000132,CUST_001819,PROD_0094,2023-03-13 06:35:00,46571,COD,Electronics,1
TXN_00000133,CUST_001673,PROD_0276,2024-01-23 21:58:00,15184,COD,Fashion,1
TXN_00000134,CUST_001799,PROD_0140,2023-09-10 02:51:00,1709,UPI,Fashion,1
TXN_00000135,CUST_001942,PROD_0222,2023-11-09 22:53:00,146825,Credit Card,Electronics,1
TXN_00000136,CUST_001568,PROD_0164,2023-06-27 02:26:00,23863,UPI,Home & Living,1
TXN_00000137,CUST_001226,PROD_0229,2023-02-11 17:30:00,25263,Credit Card,Electronics,3
TXN_00000138,CUST_001939,PROD_0136,2024-01-06 01:06:00,392730,Net Banking,Electronics,3
TXN_00000139,CUST_000073,PROD_0075,2023-04-26 20:22:00,417602,Net Banking,Electronics,3
TXN_00000140,CUST_000884,PROD_0016,2024-02-05 07:01:00,136088,UPI,Electronics,1
TXN_00000141,CUST_001908,PROD_0254,2024-02-01 06:34:00,4670,COD,Fashion,1
TXN_00000142,CUST_001246,PROD_0284,2023-12-16 21:47:00,23751,Credit Card,Home & Living,1
TXN_00000143,CUST_000038,PROD_0079,2023-01-27 12:49:00,20271,UPI,Electronics,1
TXN_00000144,CUST_000773,PROD_0013,2023-08-09 22:27:00,64633,UPI,Electronics,2
TXN_00000145,CUST_001126,PROD_0013,2023-08-13 03:57:00,27209,UPI,Electronics,1
TXN_00000146,CUST_001261,PROD_0042,2023-07-08 11:12:00,11712,Net Banking,Home & Living,1
TXN_00000147,CUST_000703,PROD_0267,2023-01-30 07:14:00,123373,Wallet,Electronics,1
TXN_00000148,CUST_000189,PROD_0230,2023-04-27 13:47:00,130371,Debit Card,Electronics,1
TXN_00000149,CUST_001542,PROD_0060,2024-02-11 17:36:00,50187,UPI,Electronics,1
TXN_00000150,CUST_000094,PROD_0023,2023-01-08 23:15:00,11594,Wallet,Fashion,1
TXN_00000151,CUST_001665,PROD_0275,2023-01-30 04:28:00,1609,UPI,Fashion,1
TXN_00000152,CUST_000370,PROD_0153,2023-06-10 11:38:00,80000,UPI,Electronics,1
TXN_00000153,CUST_001342,PROD_0121,2023-05-30 04:38:00,274339,Credit Card,Electronics,2
TXN_00000154,CUST_000815,PROD_0246,2023-03-04 21:04:00,27222,Credit Card,Home & Living,1
TXN_00000155,CUST_000157,PROD_0198,2023-10-06 06:31:00,2320,Debit Card,Home & Living,1
TXN_00000156,CUST_001445,PROD_0107,2023-07-02 07:28:00,376850,Credit Card,Electronics,3
TXN_00000157,CUST_001461,PROD_0245,2023-07-07 17:18:00,237179,Debit Card,Electronics,2
TXN_00000158,CUST_001780,PROD_0137,2023-09-27 08:20:00,5407,Net Banking,Fashion,1
TXN_00000159,CUST_001430,PROD_0023,2023-02-23 01:22:00,10231,COD,Fashion,1
TXN_00000160,CUST_001845,PROD_0213,2023-11-15 15:17:00,112974,Credit Card,Electronics,1
TXN_00000161,CUST_000161,PROD_0110,2023-03-12 16:14:00,132449,UPI,Electronics,1
TXN_00000162,CUST_000625,PROD_0192,2023-04-18 03:23:00,13631,Credit Card,Home & Living,1
TXN_00000163,CUST_001485,PROD_0071,2023-03-14 01:15:00,9305,Credit Card,Fashion,1
TXN_00000164,CUST_001431,PROD_0075,2024-01-27 14:07:00,136846,Wallet,Electronics,1
TXN_00000165,CUST_000044,PROD_0031,2023-01-18 08:17:00,16168,Net Banking,Fashion,2
TXN_00000166,CUST_001205,PROD_0054,2024-02-28 02:03:00,44822,Debit Card,Home & Living,2
TXN_00000167,CUST_000572,PROD_0077,2023-07-16 15:01:00,456806,UPI,Electronics,3
TXN_00000168,CUST_001767,PROD_0290,2023-08-16 01:14:00,111828,Credit Card,Electronics,1
TXN_00000169,CUST_000422,PROD_0223,2023-12-04 13:34:00,24765,Debit Card,Electronics,2
TXN_00000170,CUST_000108,PROD_0192,2023-01-17 17:48:00,13320,Wallet,Home & Living,1
TXN_00000171,CUST_000713,PROD_0213,2023-11-08 10:59:00,131305,Net Banking,Electronics,1
TXN_00000172,CUST_001697,PROD_0108,2024-02-19 18:13:00,26444,Net Banking,Home & Living,2
TXN_00000173,CUST_001551,PROD_0066,2024-01-07 19:27:00,4367,Credit Card,Fashion,1
TXN_00000174,CUST_001774,PROD_0124,2024-01-09 23:48:00,13079,Credit Card,Fashion,2
TXN_00000175,CUST_000117,PROD_0029,2023-10-11 12:46:00,6513,COD,Fashion,2
TXN_00000176,CUST_001910,PROD_0286,2023-10-01 14:27:00,2770,Wallet,Fashion,1
TXN_00000177,CUST_001173,PROD_0173,2024-01-29 16:16:00,112166,UPI,Electronics,1
TXN_00000178,CUST_000333,PROD_0105,2023-08-28 23:59:00,139133,Credit Card,Electronics,2
TXN_00000179,CUST_000488,PROD_0113,2023-01-08 08:51:00,50750,Credit Card,Electronics,1
TXN_00000180,CUST_001398,PROD_0137,2023-02-13 07:49:00,11736,Net Banking,Fashion,2
TXN_00000181,CUST_001112,PROD_0062,2023-10-20 12:02:00,39790,Debit Card,Electronics,1
TXN_00000182,CUST_001261,PROD_0082,2023-05-18 21:16:00,18349,Credit Card,Fashion,2
TXN_00000183,CUST_001603,PROD_0026,2024-01-31 19:00:00,1163,Credit Card,Fashion,1
TXN_00000184,CUST_000255,PROD_0200,2023-12-05 10:53:00,33058,Credit Card,Electronics,1
TXN_00000185,CUST_000542,PROD_0032,2023-08-16 14:01:00,1976,COD,Fashion,1
TXN_00000186,CUST_000901,PROD_0215,2023-01-19 11:30:00,28304,UPI,Electronics,1
TXN_00000187,CUST_001307,PROD_0081,2023-04-22 13:03:00,268743,Wallet,Electronics,3
TXN_00000188,CUST_001187,PROD_0282,2023-05-22 19:35:00,106653,Debit Card,Electronics,1
TXN_00000189,CUST_000644,PROD_0055,2023-08-14 05:16:00,22787,UPI,Home & Living,1
TXN_00000190,CUST_001569,PROD_0147,2023-05-13 15:08:00,38027,Credit Card,Electronics,1
TXN_00000191,CUST_000466,PROD_0085,2023-03-17 19:41:00,265617,UPI,Electronics,2
TXN_00000192,CUST_000102,PROD_0101,2023-12-02 01:11:00,3113,UPI,Fashion,1
TXN_00000193,CUST_001402,PROD_0233,2023-08-14 18:20:00,60742,UPI,Electronics,1
TXN_00000194,CUST_000086,PROD_0209,2023-04-27 01:45:00,79944,Wallet,Electronics,1
TXN_00000195,CUST_000531,PROD_0212,2023-01-09 21:54:00,9702,UPI,Fashion,1
TXN_00000196,CUST_001757,PROD_0100,2023-10-04 22:02:00,167356,Credit Card,Electronics,2
TXN_00000197,CUST_001230,PROD_0273,2023-02-25 02:32:00,121068,Debit Card,Electronics,1
TXN_00000198,CUST_000909,PROD_0255,2023-02-09 07:13:00,32553,Debit Card,Electronics,1
TXN_00000199,CUST_000668,PROD_0111,2024-02-29 21:26:00,366067,Debit Card,Electronics,3
TXN_00000200,CUST_000147,PROD_0245,2023-05-25 04:01:00,131415,Net Banking,Electronics,1
TXN_00000201,CUST_000669,PROD_0048,2023-07-04 10:26:00,42206,Net Banking,Home & Living,1
TXN_00000202,CUST_001838,PROD_0100,2023-08-29 09:39:00,158384,UPI,Electronics,2
TXN_00000203,CUST_000064,PROD_0038,2023-01-23 09:59:00,7244,Credit Card,Fashion,2
TXN_00000204,CUST_000308,PROD_0257,2023-01-14 03:38:00,19706,UPI,Electronics,1
TXN_00000205,CUST_000434,PROD_0253,2023-09-19 22:49:00,18767,UPI,Fashion,2
TXN_00000206,CUST_001520,PROD_0078,2023-10-25 22:22:00,16226,Wallet,Electronics,1
TXN_00000207,CUST_001925,PROD_0053,2024-03-01 18:02:00,26330,Debit Card,Home & Living,3
TXN_00000208,CUST_001346,PROD_0221,2023-07-15 20:05:00,262480,Debit Card,Electronics,3
TXN_00000209,CUST_001957,PROD_0209,2023-04-25 18:32:00,68706,Credit Card,Electronics,1
TXN_00000210,CUST_001177,PROD_0053,2024-01-11 13:34:00,9973,COD,Home & Living,1
TXN_00000211,CUST_001502,PROD_0119,2023-09-28 01:38:00,65495,COD,Electronics,1
TXN_00000212,CUST_000968,PROD_0025,2023-09-24 14:20:00,30299,UPI,Fashion,2
TXN_00000213,CUST_000552,PROD_0276,2023-10-22 09:58:00,12890,Net Banking,Fashion,1
TXN_00000214,CUST_000500,PROD_0023,2024-02-14 11:14:00,9586,Debit Card,Fashion,1
TXN_00000215,CUST_000934,PROD_0154,2023-03-01 22:15:00,15895,Debit Card,Home & Living,1
TXN_00000216,CUST_000912,PROD_0124,2023-07-29 11:05:00,14303,UPI,Fashion,2
TXN_00000217,CUST_000721,PROD_0113,2023-02-09 11:41:00,116171,UPI,Electronics,2
TXN_00000218,CUST_000992,PROD_0158,2023-08-18 13:14:00,95771,Debit Card,Electronics,1
TXN_00000219,CUST_001167,PROD_0030,2023-03-06 17:15:00,12828,Credit Card,Fashion,1
TXN_00000220,CUST_001591,PROD_0277,2023-12-12 18:42:00,12465,COD,Fashion,1
TXN_00000221,CUST_000283,PROD_0233,2024-02-12 09:21:00,62539,Debit Card,Electronics,1
TXN_00000222,CUST_000643,PROD_0022,2023-07-29 13:32:00,115127,UPI,Electronics,1
TXN_00000223,CUST_000304,PROD_0266,2023-11-20 06:57:00,154964,Credit Card,Electronics,2
TXN_00000224,CUST_000369,PROD_0258,2023-01-08 05:07:00,36236,Credit Card,Electronics,1
TXN_00000225,CUST_000858,PROD_0219,2023-10-11 22:59:00,45375,Credit Card,Electronics,1
TXN_00000226,CUST_000963,PROD_0149,2023-03-06 01:53:00,121498,Net Banking,Electronics,1
TXN_00000227,CUST_000884,PROD_0138,2023-03-27 02:08:00,102592,Credit Card,Electronics,1
TXN_00000228,CUST_001055,PROD_0031,2023-07-18 13:22:00,8977,Net Banking,Fashion,1
TXN_00000229,CUST_000262,PROD_0214,2023-10-13 07:45:00,147966,UPI,Electronics,2
TXN_00000230,CUST_000601,PROD_0064,2024-02-27 10:37:00,7042,Debit Card,Fashion,1
TXN_00000231,CUST_001247,PROD_0180,2024-01-05 01:04:00,10786,Net Banking,Home & Living,1
TXN_00000232,CUST_001513,PROD_0089,2023-08-18 13:40:00,6627,UPI,Fashion,1
TXN_00000233,CUST_000922,PROD_0113,2023-08-12 09:48:00,61170,Debit Card,Electronics,1
TXN_00000234,CUST_000978,PROD_0216,2024-01-11 05:46:00,249194,Net Banking,Electronics,2
TXN_00000235,CUST_001569,PROD_0246,2024-02-24 16:05:00,28134,Credit Card,Home & Living,1
TXN_00000236,CUST_000312,PROD_0054,2023-10-31 18:23:00,25973,Credit Card,Home & Living,1
TXN_00000237,CUST_001381,PROD_0187,2023-07-14 10:28:00,118545,UPI,Electronics,1
TXN_00000238,CUST_000362,PROD_0262,2023-10-29 08:49:00,37617,Wallet,Electronics,2
TXN_00000239,CUST_000199,PROD_0076,2023-09-10 10:03:00,5951,UPI,Home & Living,1
TXN_00000240,CUST_001156,PROD_0249,2023-09-26 18:32:00,128858,UPI,Electronics,1
TXN_00000241,CUST_001729,PROD_0256,2023-05-27 10:24:00,2463,Debit Card,Fashion,1
TXN_00000242,CUST_000653,PROD_0099,2023-03-15 01:52:00,23728,UPI,Electronics,2
TXN_00000243,CUST_001936,PROD_0300,2024-01-10 06:27:00,292528,Debit Card,Electronics,2
TXN_00000244,CUST_001064,PROD_0041,2023-11-12 10:06:00,40955,UPI,Home & Living,1
TXN_00000245,CUST_000712,PROD_0295,2023-03-02 09:17:00,70090,UPI,Electronics,1
TXN_00000246,CUST_000997,PROD_0037,2023-03-28 09:58:00,14715,Debit Card,Fashion,1
TXN_00000247,CUST_000532,PROD_0282,2024-01-21 03:59:00,216132,Debit Card,Electronics,2
TXN_00000248,CUST_000475,PROD_0016,2023-03-14 03:13:00,143850,UPI,Electronics,1
TXN_00000249,CUST_001131,PROD_0164,2024-01-22 05:01:00,24068,COD,Home & Living,1
TXN_00000250,CUST_001226,PROD_0245,2023-10-04 17:51:00,423816,Credit Card,Electronics,3
TXN_00000251,CUST_000400,PROD_0091,2024-03-02 00:23:00,40065,UPI,Home & Living,1
TXN_00000252,CUST_000417,PROD_0032,2023-10-20 13:46:00,3345,UPI,Fashion,2
TXN_00000253,CUST_000912,PROD_0159,2024-03-01 14:18:00,118464,Net Banking,Electronics,1
TXN_00000254,CUST_001881,PROD_0168,2023-12-28 03:28:00,132379,COD,Electronics,1
TXN_00000255,CUST_001821,PROD_0253,2023-05-15 02:55:00,16830,UPI,Fashion,2
TXN_00000256,CUST_000281,PROD_0062,2024-01-10 21:07:00,48657,Net Banking,Electronics,1
TXN_00000257,CUST_001984,PROD_0295,2023-02-10 23:50:00,143279,Credit Card,Electronics,2
TXN_00000258,CUST_000456,PROD_0098,2023-06-17 05:32:00,65103,UPI,Electronics,1
TXN_00000259,CUST_000687,PROD_0088,2023-11-19 23:32:00,110576,Net Banking,Electronics,1
TXN_00000260,CUST_001377,PROD_0250,2023-12-28 22:20:00,26750,Net Banking,Fashion,2
TXN_00000261,CUST_001828,PROD_0244,2023-08-10 03:59:00,12452,Credit Card,Fashion,1
TXN_00000262,CUST_001445,PROD_0053,2023-06-12 06:53:00,10445,UPI,Home & Living,1
TXN_00000263,CUST_001144,PROD_0193,2023-11-17 01:40:00,24600,Credit Card,Home & Living,1
TXN_00000264,CUST_001285,PROD_0097,2023-03-12 18:24:00,85037,COD,Electronics,1
TXN_00000265,CUST_001787,PROD_0170,2023-12-11 06:16:00,1042,COD,Fashion,1
TXN_00000266,CUST_000963,PROD_0134,2024-02-21 05:46:00,105032,COD,Electronics,1
TXN_00000267,CUST_001018,PROD_0089,2023-04-12 20:56:00,16503,Debit Card,Fashion,3
TXN_00000268,CUST_000182,PROD_0089,2024-03-14 23:47:00,6680,Wallet,Fashion,1
TXN_00000269,CUST_000439,PROD_0055,2023-02-04 15:35:00,51210,Debit Card,Home & Living,3
TXN_00000270,CUST_001252,PROD_0144,2023-04-02 01:26:00,37109,Net Banking,Electronics,3
TXN_00000271,CUST_001409,PROD_0197,2023-07-14 20:37:00,103208,UPI,Electronics,2
TXN_00000272,CUST_000481,PROD_0038,2023-09-05 16:42:00,4199,COD,Fashion,1
TXN_00000273,CUST_001955,PROD_0173,2023-06-03 07:56:00,190287,Debit Card,Electronics,2
TXN_00000274,CUST_000599,PROD_0154,2023-09-08 20:25:00,35356,UPI,Home & Living,2
TXN_00000275,CUST_001225,PROD_0017,2023-09-04 09:06:00,30127,COD,Electronics,1
TXN_00000276,CUST_000449,PROD_0213,2024-01-22 09:26:00,205162,Credit Card,Electronics,2
TXN_00000277,CUST_001986,PROD_0243,2023-05-07 21:27:00,10407,COD,Electronics,1
