session_id,customer_id,device_type,session_start,session_end,pages_visited,session_duration_minutes
SESS_00000033,CUST_000347,Mobile,2024-02-29 18:32:00,2024-02-29 19:15:00,14,43
SESS_00000034,CUST_001927,Mobile,2024-02-17 10:33:00,2024-02-17 10:51:00,4,18
SESS_00000035,CUST_001147,Tablet,2023-12-30 00:43:00,2023-12-30 00:54:00,3,11
SESS_00000036,CUST_000940,Mobile,2023-09-01 02:08:00,2023-09-01 02:38:00,6,30
SESS_00000037,CUST_001429,Desktop,2023-02-23 10:24:00,2023-02-23 11:54:00,15,90
SESS_00000038,CUST_000693,Desktop,2023-04-10 19:00:00,2023-04-10 20:54:00,19,114
SESS_00000039,CUST_000197,Mobile,2023-12-15 14:18:00,2023-12-15 14:37:00,3,19
SESS_00000040,CUST_001168,Mobile,2023-05-10 00:58:00,2023-05-10 01:33:00,17,35
SESS_00000041,CUST_001346,Mobile,2023-04-09 00:50:00,2023-04-09 01:26:00,6,36
SESS_00000042,CUST_001503,Tablet,2023-03-23 05:36:00,2023-03-23 06:21:00,22,45
SESS_00000043,CUST_001766,Desktop,2023-07-26 08:52:00,2023-07-26 09:12:00,3,20
SESS_00000044,CUST_001266,Desktop,2024-01-27 12:20:00,2024-01-27 13:39:00,11,79
SESS_00000045,CUST_000606,Mobile,2023-01-17 04:44:00,2023-01-17 05:22:00,12,38
SESS_00000046,CUST_000952,Mobile,2023-08-04 08:20:00,2023-08-04 08:30:00,1,10
SESS_00000047,CUST_000852,Mobile,2023-11-24 10:35:00,2023-11-24 11:05:00,10,30
SESS_00000048,CUST_001075,Mobile,2023-01-08 05:15:00,2023-01-08 05:52:00,7,37
SESS_00000049,CUST_000656,Mobile,2023-08-03 05:26:00,2023-08-03 05:30:00,2,4
SESS_00000050,CUST_001136,Mobile,2023-01-05 11:37:00,2023-01-05 12:13:00,18,36
SESS_00000051,CUST_001371,Mobile,2023-03-03 16:49:00,2023-03-03 17:26:00,6,37
SESS_00000052,CUST_000028,Tablet,2023-01-04 22:15:00,2023-01-04 22:20:00,2,5
SESS_00000053,CUST_000681,Tablet,2023-04-10 14:34:00,2023-04-10 14:48:00,2,14
SESS_00000054,CUST_001991,Desktop,2023-07-23 16:47:00,2023-07-23 17:56:00,9,69
SESS_00000055,CUST_000329,Desktop,2024-02-07 23:41:00,2024-02-08 01:37:00,16,116
SESS_00000056,CUST_000317,Desktop,2023-01-27 06:00:00,2023-01-27 07:06:00,33,66
SESS_00000057,CUST_000126,Mobile,2023-10-05 02:57:00,2023-10-05 03:26:00,4,29
SESS_00000058,CUST_001512,Tablet,2023-03-29 05:13:00,2023-03-29 06:13:00,8,60
SESS_00000059,CUST_001209,Tablet,2023-08-28 12:41:00,2023-08-28 13:11:00,10,30
SESS_00000060,CUST_000232,Mobile,2023-07-07 08:04:00,2023-07-07 08:28:00,3,24
SESS_00000061,CUST_001428,Mobile,2023-02-04 18:35:00,2023-02-04 18:40:00,1,5
SESS_00000062,CUST_000006,Mobile,2024-03-05 21:57:00,2024-03-05 22:07:00,2,10
SESS_00000063,CUST_001503,Desktop,2023-03-10 19:42:00,2023-03-10 20:11:00,3,29
SESS_00000064,CUST_001683,Mobile,2023-12-22 19:19:00,2023-12-22 19:30:00,1,11
SESS_00000065,CUST_001145,Mobile,2023-07-29 06:21:00,2023-07-29 06:57:00,4,36
SESS_00000066,CUST_001745,Mobile,2023-05-02 09:37:00,2023-05-02 09:49:00,1,12
SESS_00000067,CUST_001807,Mobile,2023-07-19 06:35:00,2023-07-19 07:14:00,4,39
SESS_00000068,CUST_001835,Desktop,2023-11-23 17:31:00,2023-11-23 19:01:00,12,90
SESS_00000069,CUST_000552,Tablet,2023-11-12 10:22:00,2023-11-12 11:05:00,21,43
SESS_00000070,CUST_000109,Desktop,2023-11-09 04:49:00,2023-11-09 06:36:00,15,107
SESS_00000071,CUST_000471,Desktop,2023-05-03 11:23:00,2023-05-03 13:19:00,19,116
SESS_00000072,CUST_001033,Desktop,2023-06-28 14:54:00,2023-06-28 15:21:00,4,27
SESS_00000073,CUST_001331,Desktop,2023-04-24 08:25:00,2023-04-24 09:56:00,30,91
SESS_00000074,CUST_001327,Mobile,2023-09-22 19:06:00,2023-09-22 19:35:00,14,29
SESS_00000075,CUST_001358,Mobile,2023-11-04 00:22:00,2023-11-04 00:44:00,3,22
SESS_00000076,CUST_001000,Mobile,2023-07-07 06:01:00,2023-07-07 06:43:00,14,42
SESS_00000077,CUST_001203,Mobile,2023-07-29 02:17:00,2023-07-29 02:56:00,6,39
SESS_00000078,CUST_001371,Mobile,2024-01-24 01:50:00,2024-01-24 02:35:00,5,45
SESS_00000079,CUST_001688,Desktop,2023-11-09 09:04:00,2023-11-09 10:06:00,12,62
SESS_00000080,CUST_001160,Mobile,2023-06-17 20:42:00,2023-06-17 20:54:00,1,12
SESS_00000081,CUST_000087,Mobile,2023-04-06 14:38:00,2023-04-06 15:12:00,5,34
SESS_00000082,CUST_001398,Desktop,2024-01-10 22:06:00,2024-01-10 22:49:00,10,43
SESS_00000083,CUST_001743,Mobile,2023-05-15 17:05:00,2023-05-15 17:11:00,1,6
SESS_00000084,CUST_001951,Mobile,2023-11-12 03:30:00,2023-11-12 04:12:00,14,42
SESS_00000085,CUST_001052,Mobile,2023-05-24 10:50:00,2023-05-24 11:25:00,8,35
SESS_00000086,CUST_001098,Mobile,2024-01-14 15:17:00,2024-01-14 15:56:00,9,39
SESS_00000087,CUST_000088,Mobile,2024-03-06 01:36:00,2024-03-06 01:49:00,2,13
SESS_00000088,CUST_000377,Mobile,2023-10-10 16:25:00,2023-10-10 16:49:00,3,24
SESS_00000089,CUST_001107,Mobile,2024-03-06 00:56:00,2024-03-06 01:29:00,4,33
SESS_00000090,CUST_000380,Mobile,2023-01-11 01:35:00,2023-01-11 02:17:00,6,42
SESS_00000091,CUST_000047,Tablet,2023-07-02 14:51:00,2023-07-02 14:57:00,3,6
SESS_00000092,CUST_001168,Mobile,2023-09-12 09:55:00,2023-09-12 10:10:00,1,15
SESS_00000093,CUST_001347,Tablet,2023-12-07 10:28:00,2023-12-07 10:53:00,3,25
SESS_00000094,CUST_000301,Mobile,2023-12-03 19:08:00,2023-12-03 19:31:00,5,23
SESS_00000095,CUST_001678,Desktop,2023-12-24 11:55:00,2023-12-24 13:24:00,17,89
SESS_00000096,CUST_001025,Desktop,2023-01-13 22:44:00,2023-01-14 00:02:00,19,78
SESS_00000097,CUST_000870,Desktop,2024-02-23 19:46:00,2024-02-23 19:55:00,4,9
SESS_00000098,CUST_000213,Mobile,2023-06-23 22:41:00,2023-06-23 23:18:00,18,37
SESS_00000099,CUST_000262,Mobile,2024-02-04 06:24:00,2024-02-04 06:35:00,2,11
SESS_00000100,CUST_001442,Mobile,2023-04-06 09:39:00,2023-04-06 10:22:00,6,43
SESS_00000101,CUST_000585,Mobile,2024-02-06 15:43:00,2024-02-06 15:47:00,2,4
SESS_00000102,CUST_000278,Mobile,2023-06-26 03:36:00,2023-06-26 03:40:00,1,4
SESS_00000103,CUST_001836,Mobile,2023-11-30 14:57:00,2023-11-30 15:07:00,2,10
SESS_00000104,CUST_001423,Mobile,2023-05-18 13:03:00,2023-05-18 13:44:00,10,41
SESS_00000105,CUST_001657,Desktop,2023-08-31 22:31:00,2023-08-31 22:59:00,3,28
SESS_00000106,CUST_000589,Desktop,2023-09-30 15:31:00,2023-09-30 16:15:00,8,44
SESS_00000107,CUST_000792,Mobile,2023-05-05 01:43:00,2023-05-05 02:19:00,12,36
SESS_00000108,CUST_000683,Desktop,2023-08-14 04:42:00,2023-08-14 05:58:00,12,76
SESS_00000109,CUST_000061,Desktop,2023-11-13 03:54:00,2023-11-13 05:42:00,15,108
SESS_00000110,CUST_000117,Mobile,2023-01-19 22:44:00,2023-01-19 23:12:00,9,28
SESS_00000111,CUST_000547,Mobile,2023-11-25 14:19:00,2023-11-25 15:01:00,5,42
SESS_00000112,CUST_001383,Desktop,2023-02-11 16:00:00,2023-02-11 17:52:00,28,112
SESS_00000113,CUST_001822,Mobile,2024-02-01 04:02:00,2024-02-01 04:47:00,15,45
SESS_00000114,CUST_000322,Mobile,2023-04-10 00:20:00,2023-04-10 00:58:00,7,38
SESS_00000115,CUST_001794,Tablet,2023-06-26 14:15:00,2023-06-26 14:33:00,2,18
SESS_00000116,CUST_001692,Mobile,2023-08-10 17:49:00,2023-08-10 18:32:00,5,43
SESS_00000117,CUST_000384,Mobile,2023-09-14 15:24:00,2023-09-14 15:48:00,4,24
SESS_00000118,CUST_000738,Mobile,2024-01-08 11:22:00,2024-01-08 11:32:00,2,10
SESS_00000119,CUST_001043,Desktop,2023-07-31 17:20:00,2023-07-31 18:17:00,9,57
SESS_00000120,CUST_000738,Mobile,2023-01-13 23:27:00,2023-01-13 23:53:00,6,26
SESS_00000121,CUST_001982,Desktop,2023-09-14 15:33:00,2023-09-14 16:02:00,4,29
SESS_00000122,CUST_000821,Mobile,2023-06-08 16:30:00,2023-06-08 16:39:00,3,9
SESS_00000123,CUST_000093,Mobile,2023-01-27 01:11:00,2023-01-27 01:34:00,5,23
SESS_00000124,CUST_000535,Mobile,2023-07-27 20:16:00,2023-07-27 20:39:00,2,23
SESS_00000125,CUST_000511,Desktop,2023-05-03 09:28:00,2023-05-03 10:55:00,14,87
SESS_00000126,CUST_000716,Mobile,2023-03-11 18:16:00,2023-03-11 18:58:00,6,42
SESS_00000127,CUST_001999,Tablet,2023-09-18 09:18:00,2023-09-18 09:52:00,17,34
SESS_00000128,CUST_000588,Mobile,2024-02-23 03:44:00,2024-02-23 04:05:00,5,21
SESS_00000129,CUST_000073,Mobile,2023-06-18 21:47:00,2023-06-18 22:13:00,8,26
SESS_00000130,CUST_001568,Desktop,2023-04-11 15:02:00,2023-04-11 16:04:00,10,62
SESS_00000131,CUST_001863,Desktop,2023-06-21 20:06:00,2023-06-21 22:03:00,58,117
SESS_00000132,CUST_001071,Tablet,2023-02-23 18:25:00,2023-02-23 19:11:00,23,46
SESS_00000133,CUST_000406,Mobile,2023-10-01 20:28:00,2023-10-01 20:53:00,3,25
SESS_00000134,CUST_001264,Mobile,2023-06-28 10:36:00,2023-06-28 10:55:00,6,19
SESS_00000135,CUST_000365,Desktop,2023-10-22 16:06:00,2023-10-22 17:39:00,31,93
SESS_00000136,CUST_000505,Desktop,2023-11-28 04:18:00,2023-11-28 04:35:00,2,17
SESS_00000137,CUST_001368,Mobile,2023-11-11 14:54:00,2023-11-11 15:25:00,4,31
SESS_00000138,CUST_000179,Desktop,2023-02-11 16:00:00,2023-02-11 17:58:00,59,118
SESS_00000139,CUST_001462,Mobile,2023-12-22 12:28:00,2023-12-22 12:59:00,7,31
SESS_00000140,CUST_001927,Mobile,2024-02-23 06:24:00,2024-02-23 06:29:00,1,5
SESS_00000141,CUST_000541,Desktop,2023-10-07 19:00:00,2023-10-07 20:58:00,19,118
SESS_00000142,CUST_001065,Mobile,2023-06-19 19:09:00,2023-06-19 19:39:00,15,30
SESS_00000143,CUST_000529,Desktop,2023-04-25 21:26:00,2023-04-25 22:47:00,10,81
SESS_00000144,CUST_000556,Desktop,2023-08-29 08:38:00,2023-08-29 09:12:00,4,34
SESS_00000145,CUST_000627,Mobile,2024-02-02 15:24:00,2024-02-02 15:59:00,5,35
SESS_00000146,CUST_001193,Mobile,2023-04-19 22:32:00,2023-04-19 23:00:00,14,28
SESS_00000147,CUST_000801,Mobile,2023-11-20 23:05:00,2023-11-20 23:40:00,5,35
SESS_00000148,CUST_000985,Tablet,2024-02-17 14:24:00,2024-02-17 14:48:00,3,24
SESS_00000149,CUST_000648,Mobile,2023-09-26 21:03:00,2023-09-26 21:39:00,9,36
SESS_00000150,CUST_000388,Mobile,2023-02-11 19:26:00,2023-02-11 20:08:00,10,42
SESS_00000151,CUST_000333,Desktop,2024-01-07 02:57:00,2024-01-07 04:33:00,19,96
SESS_00000152,CUST_001715,Mobile,2023-10-16 23:02:00,2023-10-16 23:44:00,5,42
SESS_00000153,CUST_000057,Desktop,2023-06-14 06:42:00,2023-06-14 06:58:00,5,16
SESS_00000154,CUST_000860,Mobile,2023-01-11 11:20:00,2023-01-11 11:53:00,8,33
SESS_00000155,CUST_000128,Desktop,2023-03-13 20:51:00,2023-03-13 22:07:00,9,76
SESS_00000156,CUST_001904,Mobile,2023-06-04 10:39:00,2023-06-04 11:04:00,4,25
SESS_00000157,CUST_001562,Mobile,2023-08-15 13:36:00,2023-08-15 13:58:00,5,22
SESS_00000158,CUST_001158,Tablet,2024-03-06 03:40:00,2024-03-06 03:55:00,3,15
SESS_00000159,CUST_001057,Desktop,2023-02-16 07:02:00,2023-02-16 08:13:00,11,71
SESS_00000160,CUST_000496,Desktop,2023-08-19 06:06:00,2023-08-19 07:54:00,18,108
SESS_00000161,CUST_001424,Mobile,2023-12-20 07:22:00,2023-12-20 08:01:00,9,39
SESS_00000162,CUST_000224,Desktop,2023-03-29 23:15:00,2023-03-30 01:00:00,15,105
SESS_00000163,CUST_000536,Mobile,2023-06-17 18:45:00,2023-06-17 18:58:00,4,13
SESS_00000164,CUST_000362,Mobile,2024-02-20 11:44:00,2024-02-20 12:19:00,17,35
SESS_00000165,CUST_001976,Mobile,2024-01-19 05:18:00,2024-01-19 05:42:00,6,24
SESS_00000166,CUST_001714,Desktop,2023-09-13 02:58:00,2023-09-13 03:19:00,2,21
SESS_00000167,CUST_000785,Desktop,2023-04-02 22:29:00,2023-04-02 23:11:00,5,42
SESS_00000168,CUST_000426,Desktop,2023-06-20 03:58:00,2023-06-20 05:46:00,27,108
SESS_00000169,CUST_001223,Mobile,2023-03-06 16:52:00,2023-03-06 17:20:00,9,28
SESS_00000170,CUST_000275,Desktop,2023-09-11 22:03:00,2023-09-11 22:30:00,9,27
SESS_00000171,CUST_000205,Mobile,2023-08-26 08:40:00,2023-08-26 08:44:00,1,4
SESS_00000172,CUST_001075,Desktop,2024-01-16 02:02:00,2024-01-16 02:58:00,28,56
SESS_00000173,CUST_001600,Desktop,2023-11-20 15:24:00,2023-11-20 16:01:00,4,37
SESS_00000174,CUST_000608,Tablet,2023-05-21 06:13:00,2023-05-21 06:35:00,3,22
SESS_00000175,CUST_000851,Mobile,2023-01-02 05:41:00,2023-01-02 06:07:00,8,26
SESS_00000176,CUST_000504,Desktop,2024-01-06 11:25:00,2024-01-06 12:08:00,21,43
SESS_00000177,CUST_001455,Desktop,2023-07-26 20:11:00,2023-07-26 21:34:00,10,83
SESS_00000178,CUST_001121,Mobile,2023-12-06 15:02:00,2023-12-06 15:14:00,3,12
SESS_00000179,CUST_000309,Desktop,2023-02-18 11:46:00,2023-02-18 13:26:00,50,100
SESS_00000180,CUST_000551,Tablet,2023-12-14 20:46:00,2023-12-14 21:05:00,4,19
SESS_00000181,CUST_001750,Desktop,2023-02-18 15:08:00,2023-02-18 16:39:00,30,91
SESS_00000182,CUST_001370,Mobile,2023-07-15 16:23:00,2023-07-15 16:27:00,1,4
SESS_00000183,CUST_001496,Desktop,2024-01-17 21:19:00,2024-01-17 22:35:00,19,76
SESS_00000184,CUST_000348,Mobile,2023-07-18 01:40:00,2023-07-18 01:51:00,1,11
SESS_00000185,CUST_001480,Desktop,2023-05-06 10:18:00,2023-05-06 11:49:00,18,91
SESS_00000186,CUST_000315,Mobile,2023-03-28 08:02:00,2023-03-28 08:24:00,3,22
SESS_00000187,CUST_001911,Mobile,2023-07-04 07:02:00,2023-07-04 07:29:00,13,27
SESS_00000188,CUST_001969,Mobile,2023-03-01 07:39:00,2023-03-01 07:42:00,1,3
SESS_00000189,CUST_000546,Tablet,2023-07-07 20:33:00,2023-07-07 21:16:00,14,43
SESS_00000190,CUST_000970,Desktop,2023-07-06 20:10:00,2023-07-06 20:43:00,8,33
SESS_00000191,CUST_000106,Mobile,2023-09-17 15:02:00,2023-09-17 15:27:00,5,25
SESS_00000192,CUST_001152,Mobile,2024-02-11 21:14:00,2024-02-11 21:30:00,4,16
SESS_00000193,CUST_000750,Mobile,2023-07-03 12:15:00,2023-07-03 12:49:00,8,34
SESS_00000194,CUST_001209,Mobile,2023-10-12 02:33:00,2023-10-12 02:44:00,1,11
SESS_00000195,CUST_000534,Mobile,2023-04-18 19:36:00,2023-04-18 20:06:00,7,30
SESS_00000196,CUST_001086,Mobile,2024-02-09 12:37:00,2024-02-09 13:14:00,18,37
SESS_00000197,CUST_000090,Mobile,2023-06-26 22:23:00,2023-06-26 22:56:00,4,33
SESS_00000198,CUST_001965,Mobile,2023-04-17 06:58:00,2023-04-17 07:33:00,17,35
SESS_00000199,CUST_000944,Mobile,2023-11-16 23:08:00,2023-11-16 23:35:00,3,27
SESS_00000200,CUST_000796,Mobile,2023-01-01 18:43:00,2023-01-01 19:03:00,10,20
SESS_00000201,CUST_000623,Mobile,2023-05-09 14:56:00,2023-05-09 15:21:00,12,25
SESS_00000202,CUST_000211,Desktop,2023-08-21 10:00:00,2023-08-21 10:50:00,10,50
SESS_00000203,CUST_001392,Desktop,2024-03-05 12:22:00,2024-03-05 14:10:00,27,108
SESS_00000204,CUST_001057,Mobile,2023-11-01 19:40:00,2023-11-01 19:44:00,1,4
SESS_00000205,CUST_000815,Desktop,2023-06-15 17:59:00,2023-06-15 18:57:00,7,58
SESS_00000206,CUST_001210,Mobile,2023-09-12 23:45:00,2023-09-12 23:55:00,3,10
SESS_00000207,CUST_000414,Mobile,2023-03-28 09:11:00,2023-03-28 09:15:00,1,4
SESS_00000208,CUST_000492,Mobile,2023-01-10 01:25:00,2023-01-10 01:42:00,2,17
SESS_00000209,CUST_000132,Tablet,2023-10-21 03:55:00,2023-10-21 04:02:00,1,7
SESS_00000210,CUST_000880,Desktop,2024-03-12 18:30:00,2024-03-12 20:25:00,14,115
SESS_00000211,CUST_000207,Mobile,2024-01-14 07:24:00,2024-01-14 07:41:00,4,17
SESS_00000212,CUST_001212,Mobile,2023-02-10 21:51:00,2023-02-10 21:58:00,1,7
SESS_00000213,CUST_000617,Mobile,2024-01-03 04:53:00,2024-01-03 04:58:00,1,5
SESS_00000214,CUST_000316,Mobile,2023-10-08 12:06:00,2023-10-08 12:16:00,1,10
SESS_00000215,CUST_000296,Mobile,2023-04-21 05:35:00,2023-04-21 06:03:00,4,28
SESS_00000216,CUST_001754,Mobile,2024-01-25 03:17:00,2024-01-25 03:19:00,1,2
SESS_00000217,CUST_001580,Mobile,2023-03-09 20:18:00,2023-03-09 20:41:00,5,23
SESS_00000218,CUST_000280,Mobile,2023-03-16 08:47:00,2023-03-16 09:27:00,13,40
SESS_00000219,CUST_000350,Desktop,2023-05-28 07:01:00,2023-05-28 07:28:00,9,27
SESS_00000220,CUST_001416,Tablet,2023-03-09 22:03:00,2023-03-09 22:08:00,2,5
SESS_00000221,CUST_000198,Desktop,2023-04-08 04:28:00,2023-04-08 05:43:00,12,75
SESS_00000222,CUST_000351,Mobile,2023-10-06 21:43:00,2023-10-06 21:55:00,3,12
SESS_00000223,CUST_001357,Mobile,2023-05-01 10:03:00,2023-05-01 10:46:00,7,43
SESS_00000224,CUST_001713,Desktop,2023-09-08 18:06:00,2023-09-08 19:45:00,33,99
SESS_00000225,CUST_000688,Tablet,2023-04-28 05:38:00,2023-04-28 06:03:00,5,25
SESS_00000226,CUST_000239,Mobile,2023-11-22 15:26:00,2023-11-22 15:39:00,2,13
SESS_00000227,CUST_000575,Mobile,2024-01-13 22:33:00,2024-01-13 22:52:00,3,19
SESS_00000228,CUST_001506,Mobile,2023-09-07 12:18:00,2023-09-07 12:23:00,1,5
SESS_00000229,CUST_001101,Mobile,2024-01-21 19:55:00,2024-01-21 20:26:00,6,31
SESS_00000230,CUST_001188,Mobile,2023-07-05 06:24:00,2023-07-05 06:30:00,1,6
SESS_00000231,CUST_000008,Tablet,2023-10-10 06:00:00,2023-10-10 06:46:00,9,46
SESS_00000232,CUST_000082,Mobile,2023-11-02 01:25:00,2023-11-02 01:42:00,5,17
SESS_00000233,CUST_000772,Desktop,2023-01-29 04:31:00,2023-01-29 05:03:00,16,32
SESS_00000234,CUST_001478,Desktop,2023-06-21 13:30:00,2023-06-21 15:25:00,16,115
SESS_00000235,CUST_000336,Desktop,2023-08-04 02:31:00,2023-08-04 04:14:00,12,103
SESS_00000236,CUST_000406,Desktop,2023-08-08 05:37:00,2023-08-08 06:03:00,6,26
SESS_00000237,CUST_000658,Mobile,2024-02-20 19:42:00,2024-02-20 20:18:00,6,36
SESS_00000238,CUST_000964,Mobile,2023-12-29 14:55:00,2023-12-29 15:26:00,10,31
SESS_00000239,CUST_001114,Mobile,2024-01-07 23:11:00,2024-01-07 23:32:00,7,21
SESS_00000240,CUST_001939,Desktop,2023-09-15 04:04:00,2023-09-15 04:47:00,8,43
SESS_00000241,CUST_000341,Mobile,2023-11-01 05:10:00,2023-11-01 05:23:00,4,13
SESS_00000242,CUST_001938,Desktop,2023-09-29 07:12:00,2023-09-29 08:26:00,10,74
SESS_00000243,CUST_001611,Mobile,2023-02-12 06:32:00,2023-02-12 06:54:00,7,22
SESS_00000244,CUST_001479,Desktop,2023-03-25 06:21:00,2023-03-25 07:45:00,42,84
SESS_00000245,CUST_000789,Mobile,2023-03-16 15:43:00,2023-03-16 15:46:00,1,3
SESS_00000246,CUST_001190,Desktop,2023-12-28 09:58:00,2023-12-28 11:50:00,14,112
SESS_00000247,CUST_000087,Mobile,2024-01-04 21:06:00,2024-01-04 21:25:00,4,19
SESS_00000248,CUST_000153,Tablet,2023-03-29 09:21:00,2023-03-29 09:36:00,5,15
SESS_00000249,CUST_001209,Desktop,2023-03-21 08:51:00,2023-03-21 09:46:00,11,55
SESS_00000250,CUST_000907,Mobile,2023-12-12 00:33:00,2023-12-12 01:17:00,5,44
SESS_00000251,CUST_001322,Mobile,2023-10-18 07:36:00,2023-10-18 07:52:00,2,16
SESS_00000252,CUST_001429,Mobile,2023-11-26 11:02:00,2023-11-26 11:21:00,3,19
SESS_00000253,CUST_001862,Mobile,2023-03-22 22:39:00,2023-03-22 22:53:00,4,14
SESS_00000254,CUST_001317,Mobile,2023-08-24 08:07:00,2023-08-24 08:31:00,8,24
SESS_00000255,CUST_001760,Desktop,2023-06-25 17:52:00,2023-06-25 19:43:00,15,111
SESS_00000256,CUST_001813,Mobile,2023-04-30 06:45:00,2023-04-30 07:20:00,7,35
SESS_00000257,CUST_001042,Mobile,2023-11-26 18:23:00,2023-11-26 19:04:00,20,41
SESS_00000258,CUST_001498,Mobile,2024-02-17 19:01:00,2024-02-17 19:24:00,7,23
SESS_00000259,CUST_001562,Mobile,2023-01-17 18:40:00,2023-01-17 18:59:00,4,19
SESS_00000260,CUST_001150,Mobile,2023-09-04 11:36:00,2023-09-04 12:00:00,12,24
SESS_00000261,CUST_001042,Mobile,2023-12-25 05:22:00,2023-12-25 05:54:00,10,32
SESS_00000262,CUST_000461,Desktop,2023-04-04 23:44:00,2023-04-05 01:19:00,31,95
SESS_00000263,CUST_000029,Tablet,2023-01-03 15:00:00,2023-01-03 15:40:00,8,40
SESS_00000264,CUST_001790,Mobile,2023-02-05 17:27:00,2023-02-05 18:07:00,5,40
SESS_00000265,CUST_000622,Mobile,2023-09-15 09:25:00,2023-09-15 10:10:00,9,45
SESS_00000266,CUST_000584,Mobile,2023-08-27 23:40:00,2023-08-28 00:04:00,8,24
SESS_00000267,CUST_001522,Mobile,2023-11-14 03:17:00,2023-11-14 03:54:00,12,37
SESS_00000268,CUST_001516,Mobile,2023-07-07 20:24:00,2023-07-07 20:49:00,12,25
SESS_00000269,CUST_001139,Desktop,2023-11-23 12:36:00,2023-11-23 13:01:00,3,25
SESS_00000270,CUST_001718,Mobile,2023-03-13 14:54:00,2023-03-13 15:38:00,22,44
SESS_00000271,CUST_001529,Desktop,2023-03-30 10:52:00,2023-03-30 11:16:00,3,24
SESS_00000272,CUST_001400,Tablet,2023-07-08 20:42:00,2023-07-08 21:32:00,12,50
SESS_00000273,CUST_001828,Mobile,2023-11-17 03:50:00,2023-11-17 03:59:00,1,9
SESS_00000274,CUST_001368,Mobile,2023-02-01 11:22:00,2023-02-01 11:50:00,9,28
SESS_00000275,CUST_001339,Desktop,2023-06-05 02:09:00,2023-06-05 03:11:00,8,62
SESS_00000276,CUST_000836,Mobile,2023-08-17 13:57:00,2023-08-17 14:40:00,7,43
SESS_00000277,CUST_000054,Mobile,2024-02-07 20:59:00,2024-02-07 21:37:00,4,38
SESS_00000278,CUST_000544,Mobile,2023-01-26 23:20:00,2023-01-26 23:58:00,7,38
